Dereplication_Type_Comparison	Evolutionary_Statistic	Statistic_Order	r
GC Drep vs. GW Drep	conservation	1	1.0
GC Drep vs. GW Drep	tajimas_d	6	0.94
GC Drep vs. GW Drep	seg_sites_prop	5	0.98
GC Drep vs. GW Drep	entropy	2	1.0
GC Drep vs. GW Drep	median_betard	3	1.0
GC Drep vs. GW Drep	max_betard	4	0.9
GC Drep vs. GW Drep	selected_sites	7	1.0
GC Drep vs. GW Drep	avg_delta	9	0.85
GC Drep vs. GW Drep	prop_pos	8	0.91
GC Drep vs. No Drep	conservation	1	0.99
GC Drep vs. No Drep	tajimas_d	6	0.96
GC Drep vs. No Drep	seg_sites_prop	5	0.99
GC Drep vs. No Drep	entropy	2	1.0
GC Drep vs. No Drep	median_betard	3	0.79
GC Drep vs. No Drep	max_betard	4	0.97
GC Drep vs. No Drep	selected_sites	7	0.99
GC Drep vs. No Drep	avg_delta	9	0.8
GC Drep vs. No Drep	prop_pos	8	0.91
GW Drep vs. No Drep	conservation	1	0.99
GW Drep vs. No Drep	tajimas_d	6	0.96
GW Drep vs. No Drep	seg_sites_prop	5	0.98
GW Drep vs. No Drep	entropy	2	1.0
GW Drep vs. No Drep	median_betard	3	0.8
GW Drep vs. No Drep	max_betard	4	0.88
GW Drep vs. No Drep	selected_sites	7	0.99
GW Drep vs. No Drep	avg_delta	9	0.92
GW Drep vs. No Drep	prop_pos	8	0.91
