OG	Start	End	Direction	SC	Metric
OG_7	1	1813.0	0		0.466666667
OG_69	2013.0	2994.0	0		0.36
OG_8	3194.0	4145.0	0		1.0
OG_9	4345.0	5767.0	0		0.386666667
OG_10	5967.0	6939.0	0		0.293333333
OG_11	7139.0	7964.0	0		0.453333333
OG_73	8164.0	9376.0	0		0.346666667
OG_12	9576.0	10992.0	0		0.853333333
OG_96	11192.0	12731.0	0		0.266666667
OG_70	12931.0	13333.0	0		0.28
OG_14	13533.0	14511.0	0		1.0
OG_15	14711.0	15770.0	0		0.786666667
OG_16	15970.0	16675.0	0		0.786666667
OG_17	16875.0	19557.0	0	//	0.64
OG_18	19757.0	20606.0	0		0.8
OG_19	20806.0	21565.0	0		0.626666667
OG_74	21765.0	22599.0	0		0.373333333
OG_20	22799.0	24197.0	0		1.0
OG_21	24397.0	25699.0	0		1.0
OG_22	25899.0	27870.0	0		1.0
OG_23	28070.0	30212.0	0		1.0
OG_25	30412.0	33556.0	0		1.0
OG_26	33756.0	34974.0	0		1.0
OG_27	35174.0	35969.0	0		1.0
OG_28	36169.0	36511.0	1		1.0
OG_29	36711.0	37749.0	0		0.266666667
OG_30	37949.0	38300.0	0		1.0
OG_31	38500.0	39226.0	0		1.0
OG_32	39426.0	40269.0	0		1.0
OG_33	40469.0	41498.0	0		1.0
OG_34	41698.0	42271.0	0		1.0
OG_36	42471.0	43338.0	0		1.0
OG_37	43538.0	44252.0	0		1.0
OG_38	44452.0	45280.0	0		1.0
OG_39	45480.0	46263.0	0		1.0
OG_40	46463.0	47612.0	0		1.0
