	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	0.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
t10_fai-gene-cluster-1	28.0	0.0	16.0	21.0	21.0	9.0	12.0	4.0	4.0	20.0	9.0	17.0	21.0	12.0	6.0	25.0	15.0	23.0	6.0	8.0	15.0	6.0	11.0	12.0	4.0	4.0	4.0	12.0	21.0	2.0	17.0
t11_fai-gene-cluster-1	14.0	4.0	0.0	11.0	15.0	7.0	7.0	3.0	2.0	8.0	8.0	12.0	18.0	8.0	5.0	18.0	7.0	20.0	4.0	4.0	7.0	0.0	8.0	0.0	5.0	2.0	0.0	9.0	18.0	4.0	11.0
t12_fai-gene-cluster-1	6.0	2.0	2.0	0.0	6.0	2.0	2.0	0.0	0.0	4.0	2.0	8.0	10.0	2.0	2.0	12.0	4.0	10.0	0.0	2.0	6.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	8.0	0.0	4.0
t13_fai-gene-cluster-1	14.0	5.0	6.0	8.0	0.0	2.0	8.0	6.0	2.0	5.0	6.0	11.0	14.0	5.0	2.0	11.0	4.0	5.0	2.0	2.0	6.0	2.0	5.0	2.0	2.0	0.0	2.0	5.0	5.0	2.0	6.0
t14_fai-gene-cluster-1	19.0	12.0	13.0	21.0	16.0	0.0	9.0	10.0	0.0	11.0	4.0	20.0	25.0	15.0	10.0	23.0	14.0	20.0	6.0	9.0	17.0	5.0	10.0	10.0	12.0	6.0	7.0	15.0	18.0	0.0	14.0
t15_fai-gene-cluster-1	16.0	6.0	14.0	14.0	14.0	2.0	0.0	6.0	0.0	14.0	6.0	16.0	12.0	8.0	6.0	16.0	10.0	14.0	4.0	4.0	14.0	6.0	8.0	10.0	10.0	4.0	6.0	10.0	14.0	0.0	12.0
t16_fai-gene-cluster-1	29.0	14.0	17.0	22.0	25.0	7.0	12.0	0.0	4.0	20.0	4.0	21.0	29.0	8.0	6.0	30.0	19.0	27.0	9.0	6.0	19.0	8.0	10.0	14.0	6.0	2.0	6.0	10.0	27.0	7.0	23.0
t17_fai-gene-cluster-1	23.0	9.0	18.0	19.0	20.0	4.0	11.0	8.0	0.0	18.0	2.0	21.0	25.0	12.0	6.0	25.0	21.0	24.0	4.0	9.0	21.0	5.0	12.0	13.0	8.0	6.0	7.0	16.0	22.0	0.0	19.0
t18_fai-gene-cluster-1	14.0	7.0	5.0	12.0	14.0	4.0	6.0	4.0	2.0	0.0	4.0	10.0	17.0	7.0	0.0	20.0	4.0	20.0	4.0	4.0	6.0	0.0	5.0	2.0	0.0	0.0	0.0	5.0	18.0	4.0	5.0
t19_fai-gene-cluster-1	14.0	5.0	14.0	17.0	13.0	2.0	9.0	6.0	2.0	13.0	0.0	16.0	12.0	9.0	4.0	20.0	16.0	19.0	4.0	9.0	17.0	5.0	8.0	10.0	6.0	5.0	5.0	11.0	17.0	0.0	12.0
t1_fai-gene-cluster-1	8.0	5.0	2.0	6.0	8.0	0.0	5.0	0.0	2.0	4.0	0.0	0.0	9.0	4.0	0.0	10.0	2.0	8.0	2.0	2.0	2.0	2.0	4.0	4.0	0.0	0.0	2.0	2.0	8.0	2.0	4.0
t20_fai-gene-cluster-1	4.0	0.0	2.0	2.0	2.0	0.0	0.0	4.0	0.0	6.0	2.0	2.0	0.0	4.0	2.0	2.0	4.0	2.0	0.0	4.0	4.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	6.0
t21_fai-gene-cluster-1	18.0	13.0	10.0	14.0	16.0	2.0	5.0	5.0	0.0	12.0	3.0	14.0	21.0	0.0	2.0	20.0	14.0	17.0	4.0	2.0	11.0	2.0	5.0	6.0	2.0	4.0	2.0	9.0	17.0	2.0	14.0
t22_fai-gene-cluster-1	19.0	8.0	11.0	11.0	17.0	6.0	7.0	5.0	4.0	14.0	9.0	19.0	22.0	7.0	0.0	24.0	8.0	20.0	2.0	5.0	8.0	2.0	9.0	8.0	0.0	0.0	2.0	9.0	19.0	4.0	12.0
t23_fai-gene-cluster-1	4.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
t24_fai-gene-cluster-1	13.0	0.0	6.0	9.0	13.0	2.0	6.0	2.0	0.0	11.0	2.0	11.0	8.0	8.0	4.0	13.0	0.0	15.0	0.0	4.0	0.0	2.0	4.0	4.0	2.0	0.0	2.0	7.0	13.0	0.0	0.0
t25_fai-gene-cluster-1	9.0	3.0	6.0	5.0	0.0	0.0	5.0	4.0	0.0	5.0	2.0	6.0	9.0	2.0	2.0	6.0	4.0	0.0	0.0	2.0	6.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	6.0
t26_fai-gene-cluster-1	28.0	11.0	17.0	20.0	21.0	10.0	8.0	10.0	4.0	24.0	12.0	25.0	27.0	12.0	7.0	29.0	15.0	26.0	0.0	9.0	15.0	7.0	13.0	12.0	11.0	0.0	5.0	18.0	26.0	6.0	18.0
t27_fai-gene-cluster-1	19.0	13.0	12.0	19.0	19.0	7.0	10.0	2.0	6.0	14.0	4.0	13.0	19.0	4.0	4.0	22.0	13.0	21.0	9.0	0.0	13.0	4.0	8.0	10.0	4.0	2.0	2.0	8.0	21.0	9.0	15.0
t28_fai-gene-cluster-1	11.0	0.0	4.0	9.0	13.0	0.0	4.0	0.0	0.0	9.0	0.0	9.0	6.0	4.0	4.0	13.0	0.0	15.0	0.0	2.0	0.0	0.0	4.0	4.0	2.0	0.0	0.0	7.0	13.0	0.0	0.0
t29_fai-gene-cluster-1	22.0	14.0	14.0	14.0	15.0	4.0	7.0	7.0	2.0	16.0	7.0	19.0	23.0	7.0	6.0	24.0	9.0	20.0	2.0	3.0	10.0	0.0	9.0	10.0	6.0	0.0	0.0	13.0	19.0	4.0	11.0
t2_fai-gene-cluster-1	15.0	5.0	8.0	12.0	14.0	2.0	5.0	2.0	0.0	6.0	0.0	9.0	14.0	4.0	0.0	17.0	6.0	14.0	0.0	4.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	12.0	2.0	6.0
t30_fai-gene-cluster-1	16.0	4.0	2.0	14.0	13.0	4.0	5.0	3.0	2.0	10.0	5.0	12.0	13.0	8.0	5.0	16.0	2.0	18.0	2.0	4.0	4.0	0.0	3.0	0.0	5.0	0.0	0.0	6.0	16.0	4.0	6.0
t3_fai-gene-cluster-1	15.0	10.0	10.0	8.0	15.0	4.0	7.0	8.0	2.0	17.0	7.0	15.0	19.0	3.0	0.0	20.0	12.0	18.0	2.0	6.0	9.0	0.0	7.0	8.0	0.0	3.0	0.0	9.0	17.0	2.0	14.0
t4_fai-gene-cluster-1	29.0	14.0	16.0	23.0	29.0	16.0	16.0	18.0	11.0	23.0	19.0	27.0	35.0	22.0	7.0	37.0	22.0	35.0	9.0	21.0	17.0	10.0	13.0	10.0	9.0	0.0	8.0	18.0	34.0	14.0	26.0
t5_fai-gene-cluster-1	19.0	12.0	14.0	13.0	17.0	5.0	5.0	2.0	2.0	12.0	6.0	17.0	23.0	2.0	4.0	25.0	10.0	21.0	2.0	2.0	11.0	0.0	8.0	10.0	4.0	0.0	0.0	12.0	19.0	5.0	12.0
t6_fai-gene-cluster-1	12.0	6.0	6.0	10.0	14.0	2.0	4.0	4.0	2.0	8.0	0.0	4.0	12.0	4.0	0.0	12.0	8.0	14.0	0.0	6.0	8.0	0.0	2.0	4.0	0.0	2.0	0.0	0.0	12.0	4.0	10.0
t7_fai-gene-cluster-1	6.0	3.0	5.0	3.0	2.0	0.0	5.0	2.0	0.0	4.0	2.0	2.0	7.0	4.0	2.0	6.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0
t8_fai-gene-cluster-1	30.0	14.0	22.0	23.0	26.0	6.0	15.0	13.0	2.0	24.0	9.0	24.0	32.0	16.0	6.0	30.0	23.0	29.0	4.0	13.0	23.0	5.0	21.0	17.0	9.0	6.0	7.0	25.0	27.0	0.0	21.0
t9_fai-gene-cluster-1	15.0	0.0	10.0	10.0	16.0	4.0	8.0	2.0	2.0	10.0	2.0	15.0	15.0	6.0	4.0	21.0	2.0	20.0	0.0	4.0	5.0	0.0	4.0	6.0	2.0	0.0	0.0	6.0	18.0	2.0	0.0
