Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t29_fai-gene-cluster-1
OG0000000	AAB_000124	ABE_000193
OG0000000	AAB_000125	ABE_000194
OG0000001	AAB_000129, AAB_000117	ABE_000198
OG0000002	AAB_000118	ABE_000178, ABE_000179
OG0000003	AAB_000123	ABE_000190
OG0000004	AAB_000108	ABE_000162, ABE_000161
OG0000005	AAB_000126	ABE_000196
OG0000006	AAB_000113	ABE_000168
OG0000007	AAB_000122	ABE_000189, ABE_000188
OG0000008	AAB_000121	ABE_000186, ABE_000187
OG0000009	AAB_000135	ABE_000206, ABE_000207
OG0000010	AAB_000110	ABE_000164
OG0000012	AAB_000143	ABE_000217, ABE_000216
OG0000013	AAB_000114	ABE_000169
OG0000014	AAB_000140	ABE_000213, ABE_000212
OG0000015	AAB_000119	ABE_000182, ABE_000181, ABE_000183
OG0000016	AAB_000131	ABE_000199
OG0000017	AAB_000136	ABE_000208
OG0000019	AAB_000144	ABE_000218, ABE_000219
OG0000020	AAB_000115	ABE_000170, ABE_000171
OG0000021	AAB_000134	ABE_000204
OG0000022	AAB_000107	ABE_000160
OG0000023	AAB_000116	ABE_000172
OG0000024	AAB_000138	ABE_000210
OG0000025	AAB_000139	ABE_000211
OG0000026	AAB_000142	ABE_000215
OG0000027	AAB_000120	ABE_000184
OG0000028	AAB_000137	ABE_000209
OG0000029	AAB_000141	ABE_000214
OG0000031	AAB_000132	ABE_000202
OG0000032	AAB_000145	ABE_000220
OG0000033	AAB_000128	ABE_000197
OG0000035	AAB_000133	ABE_000203
