	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	0.0	13.0	6.0	3.0	6.0	8.0	8.0	14.0	10.0	6.0	6.0	4.0	2.0	8.0	9.0	2.0	6.0	4.0	12.0	9.0	5.0	10.0	7.0	7.0	7.0	11.0	9.0	6.0	3.0	13.0	7.0
t10_fai-gene-cluster-1	1.0	0.0	2.0	1.0	2.0	5.0	3.0	5.0	4.0	3.0	2.0	2.0	0.0	5.0	3.0	1.0	0.0	1.0	5.0	5.0	0.0	6.0	2.0	2.0	4.0	5.0	5.0	3.0	1.0	6.0	0.0
t11_fai-gene-cluster-1	1.0	7.0	0.0	1.0	2.0	5.0	6.0	8.0	7.0	2.0	6.0	1.0	1.0	4.0	5.0	1.0	3.0	2.0	7.0	6.0	2.0	6.0	3.0	1.0	5.0	7.0	6.0	3.0	2.0	9.0	4.0
t12_fai-gene-cluster-1	1.0	10.0	5.0	0.0	3.0	8.0	6.0	10.0	7.0	5.0	7.0	3.0	1.0	6.0	5.0	0.0	4.0	2.0	8.0	9.0	4.0	6.0	5.0	6.0	4.0	9.0	5.0	5.0	1.0	9.0	4.0
t13_fai-gene-cluster-1	1.0	10.0	7.0	3.0	0.0	7.0	7.0	12.0	9.0	7.0	6.0	4.0	1.0	8.0	8.0	0.0	6.0	0.0	10.0	9.0	6.0	7.0	7.0	6.0	7.0	13.0	8.0	7.0	1.0	12.0	8.0
t14_fai-gene-cluster-1	1.0	4.0	3.0	1.0	1.0	0.0	1.0	3.0	2.0	2.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	5.0	3.0	0.0	2.0	1.0	2.0	2.0	7.0	2.0	1.0	0.0	3.0	2.0
t15_fai-gene-cluster-1	0.0	6.0	3.0	1.0	3.0	4.0	0.0	5.0	5.0	2.0	4.0	2.0	0.0	2.0	3.0	1.0	3.0	2.0	4.0	4.0	2.0	3.0	2.0	2.0	3.0	7.0	2.0	2.0	2.0	7.0	4.0
t16_fai-gene-cluster-1	1.0	2.0	1.0	0.0	3.0	5.0	3.0	0.0	3.0	2.0	3.0	0.0	2.0	2.0	2.0	0.0	1.0	2.0	4.0	1.0	0.0	3.0	1.0	1.0	3.0	8.0	1.0	2.0	1.0	5.0	1.0
t17_fai-gene-cluster-1	1.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	5.0	1.0	1.0	0.0	1.0	1.0
t18_fai-gene-cluster-1	1.0	9.0	3.0	2.0	2.0	5.0	7.0	10.0	8.0	0.0	6.0	2.0	3.0	6.0	7.0	1.0	5.0	2.0	11.0	7.0	4.0	8.0	3.0	4.0	8.0	10.0	6.0	4.0	2.0	11.0	5.0
t19_fai-gene-cluster-1	0.0	4.0	3.0	1.0	3.0	2.0	3.0	2.0	1.0	2.0	0.0	0.0	1.0	1.0	4.0	0.0	1.0	1.0	5.0	2.0	0.0	3.0	0.0	2.0	3.0	8.0	3.0	0.0	1.0	4.0	1.0
t1_fai-gene-cluster-1	0.0	8.0	5.0	4.0	5.0	9.0	8.0	10.0	9.0	4.0	7.0	0.0	1.0	6.0	9.0	0.0	5.0	3.0	11.0	6.0	4.0	9.0	4.0	5.0	7.0	11.0	8.0	2.0	1.0	10.0	7.0
t20_fai-gene-cluster-1	1.0	10.0	8.0	5.0	6.0	10.0	6.0	12.0	11.0	7.0	5.0	4.0	0.0	8.0	10.0	2.0	4.0	4.0	12.0	8.0	3.0	10.0	6.0	6.0	8.0	14.0	10.0	6.0	3.0	14.0	7.0
t21_fai-gene-cluster-1	1.0	6.0	3.0	1.0	2.0	7.0	4.0	4.0	5.0	3.0	4.0	2.0	2.0	0.0	3.0	0.0	4.0	1.0	5.0	2.0	2.0	3.0	2.0	3.0	1.0	8.0	1.0	2.0	2.0	7.0	3.0
t22_fai-gene-cluster-1	1.0	3.0	2.0	1.0	1.0	5.0	3.0	3.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	3.0	2.0	2.0	3.0	0.0	2.0	0.0	3.0	2.0	0.0	1.0	3.0	2.0
t23_fai-gene-cluster-1	1.0	12.0	8.0	6.0	5.0	10.0	8.0	14.0	11.0	9.0	9.0	5.0	1.0	9.0	11.0	0.0	6.0	3.0	13.0	10.0	6.0	11.0	8.0	7.0	9.0	15.0	12.0	6.0	3.0	13.0	10.0
t24_fai-gene-cluster-1	1.0	7.0	3.0	2.0	2.0	6.0	5.0	8.0	9.0	2.0	8.0	1.0	2.0	6.0	4.0	1.0	0.0	2.0	7.0	6.0	0.0	4.0	3.0	1.0	5.0	9.0	4.0	4.0	1.0	10.0	1.0
t25_fai-gene-cluster-1	1.0	11.0	9.0	5.0	2.0	9.0	7.0	13.0	11.0	9.0	9.0	4.0	1.0	8.0	9.0	0.0	7.0	0.0	12.0	10.0	7.0	9.0	7.0	8.0	8.0	14.0	10.0	7.0	1.0	13.0	10.0
t26_fai-gene-cluster-1	1.0	3.0	2.0	0.0	1.0	3.0	2.0	4.0	2.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	1.0	4.0	1.0	0.0	0.0	2.0	0.0
t27_fai-gene-cluster-1	1.0	4.0	2.0	1.0	1.0	4.0	2.0	3.0	3.0	2.0	4.0	1.0	2.0	1.0	2.0	0.0	2.0	1.0	4.0	0.0	1.0	1.0	2.0	2.0	2.0	9.0	1.0	3.0	1.0	5.0	2.0
t28_fai-gene-cluster-1	0.0	7.0	3.0	3.0	3.0	8.0	7.0	9.0	9.0	3.0	8.0	1.0	2.0	5.0	4.0	0.0	0.0	3.0	7.0	6.0	0.0	5.0	3.0	2.0	4.0	8.0	5.0	4.0	1.0	10.0	2.0
t29_fai-gene-cluster-1	1.0	3.0	0.0	0.0	1.0	2.0	3.0	4.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0
t2_fai-gene-cluster-1	1.0	5.0	3.0	1.0	2.0	5.0	4.0	5.0	6.0	2.0	4.0	2.0	0.0	2.0	4.0	0.0	2.0	0.0	6.0	4.0	2.0	4.0	0.0	1.0	3.0	5.0	4.0	1.0	0.0	10.0	2.0
t30_fai-gene-cluster-1	1.0	6.0	0.0	2.0	1.0	5.0	5.0	7.0	6.0	1.0	5.0	2.0	1.0	3.0	4.0	0.0	2.0	1.0	6.0	5.0	2.0	5.0	1.0	0.0	4.0	5.0	5.0	2.0	0.0	8.0	3.0
t3_fai-gene-cluster-1	1.0	2.0	2.0	1.0	1.0	6.0	5.0	3.0	4.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	2.0	1.0	3.0	0.0	2.0	0.0	4.0	2.0	0.0	1.0	4.0	1.0
t4_fai-gene-cluster-1	1.0	2.0	1.0	0.0	0.0	3.0	2.0	1.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0
t5_fai-gene-cluster-1	1.0	2.0	0.0	0.0	1.0	3.0	3.0	3.0	3.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0
t6_fai-gene-cluster-1	1.0	6.0	4.0	0.0	2.0	7.0	5.0	5.0	7.0	2.0	5.0	1.0	1.0	4.0	4.0	0.0	3.0	0.0	8.0	4.0	3.0	6.0	1.0	2.0	4.0	7.0	6.0	0.0	0.0	11.0	3.0
t7_fai-gene-cluster-1	1.0	10.0	8.0	4.0	2.0	8.0	7.0	13.0	10.0	8.0	8.0	4.0	1.0	8.0	9.0	0.0	6.0	0.0	12.0	10.0	6.0	9.0	6.0	7.0	8.0	14.0	9.0	6.0	0.0	12.0	9.0
t8_fai-gene-cluster-1	1.0	1.0	2.0	0.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0	4.0	0.0	2.0	1.0	2.0	1.0	6.0	2.0	2.0	0.0	0.0	1.0
t9_fai-gene-cluster-1	1.0	8.0	5.0	2.0	3.0	6.0	6.0	10.0	8.0	2.0	6.0	2.0	3.0	6.0	6.0	2.0	0.0	3.0	8.0	7.0	0.0	5.0	3.0	3.0	6.0	11.0	5.0	5.0	2.0	9.0	0.0
