	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	0.0	18.0	29.0	32.0	27.0	23.0	24.0	16.0	20.0	30.0	27.0	30.0	31.0	23.0	23.0	30.0	30.0	30.0	17.0	19.0	31.0	19.0	29.0	29.0	24.0	20.0	20.0	30.0	31.0	18.0	28.0
t10_fai-gene-cluster-1	18.0	0.0	32.0	28.0	29.0	35.0	33.0	33.0	39.0	30.0	38.0	27.0	22.0	27.0	36.0	24.0	33.0	29.0	34.0	28.0	33.0	31.0	41.0	34.0	36.0	37.0	34.0	38.0	29.0	40.0	34.0
t11_fai-gene-cluster-1	29.0	32.0	0.0	37.0	30.0	34.0	31.0	28.0	33.0	42.0	31.0	32.0	26.0	31.0	31.0	27.0	38.0	28.0	28.0	26.0	38.0	30.0	37.0	52.0	30.0	32.0	29.0	36.0	29.0	30.0	35.0
t12_fai-gene-cluster-1	32.0	28.0	37.0	0.0	33.0	30.0	32.0	26.0	33.0	35.0	31.0	30.0	28.0	28.0	32.0	27.0	36.0	32.0	27.0	22.0	33.0	30.0	33.0	35.0	33.0	27.0	32.0	34.0	33.0	31.0	37.0
t13_fai-gene-cluster-1	27.0	29.0	30.0	33.0	0.0	39.0	31.0	26.0	36.0	34.0	36.0	31.0	32.0	34.0	35.0	39.0	33.0	52.0	33.0	29.0	30.0	35.0	36.0	35.0	34.0	34.0	32.0	36.0	48.0	34.0	30.0
t14_fai-gene-cluster-1	23.0	35.0	34.0	30.0	39.0	0.0	43.0	36.0	63.0	38.0	53.0	31.0	24.0	37.0	37.0	30.0	33.0	37.0	38.0	35.0	31.0	41.0	40.0	37.0	37.0	37.0	39.0	38.0	37.0	59.0	36.0
t15_fai-gene-cluster-1	24.0	33.0	31.0	32.0	31.0	43.0	0.0	33.0	41.0	31.0	38.0	29.0	30.0	34.0	35.0	28.0	34.0	34.0	36.0	34.0	31.0	36.0	35.0	35.0	34.0	34.0	38.0	35.0	32.0	38.0	30.0
t16_fai-gene-cluster-1	16.0	33.0	28.0	26.0	26.0	36.0	33.0	0.0	42.0	27.0	37.0	29.0	22.0	44.0	40.0	26.0	25.0	27.0	38.0	47.0	26.0	39.0	36.0	30.0	39.0	38.0	44.0	37.0	27.0	40.0	23.0
t17_fai-gene-cluster-1	20.0	39.0	33.0	33.0	36.0	63.0	41.0	42.0	0.0	34.0	55.0	29.0	24.0	39.0	41.0	28.0	31.0	34.0	45.0	38.0	29.0	43.0	39.0	35.0	40.0	43.0	41.0	37.0	34.0	70.0	35.0
t18_fai-gene-cluster-1	30.0	30.0	42.0	35.0	34.0	38.0	31.0	27.0	34.0	0.0	35.0	34.0	28.0	33.0	35.0	28.0	37.0	31.0	26.0	27.0	37.0	32.0	44.0	44.0	32.0	32.0	34.0	42.0	32.0	31.0	40.0
t19_fai-gene-cluster-1	27.0	38.0	31.0	31.0	36.0	53.0	38.0	37.0	55.0	35.0	0.0	33.0	31.0	37.0	38.0	30.0	29.0	35.0	36.0	34.0	31.0	38.0	42.0	35.0	38.0	35.0	35.0	41.0	34.0	53.0	35.0
t1_fai-gene-cluster-1	30.0	27.0	32.0	30.0	31.0	31.0	29.0	29.0	29.0	34.0	33.0	0.0	34.0	32.0	27.0	33.0	35.0	34.0	20.0	29.0	34.0	26.0	34.0	32.0	30.0	26.0	28.0	40.0	35.0	28.0	29.0
t20_fai-gene-cluster-1	31.0	22.0	26.0	28.0	32.0	24.0	30.0	22.0	24.0	28.0	31.0	34.0	0.0	26.0	23.0	36.0	33.0	35.0	20.0	25.0	32.0	23.0	31.0	31.0	25.0	21.0	22.0	33.0	36.0	21.0	26.0
t21_fai-gene-cluster-1	23.0	27.0	31.0	28.0	34.0	37.0	34.0	44.0	39.0	33.0	37.0	32.0	26.0	0.0	39.0	32.0	27.0	36.0	37.0	41.0	30.0	41.0	38.0	33.0	42.0	34.0	45.0	36.0	32.0	39.0	28.0
t22_fai-gene-cluster-1	23.0	36.0	31.0	32.0	35.0	37.0	35.0	40.0	41.0	35.0	38.0	27.0	23.0	39.0	0.0	27.0	31.0	32.0	45.0	34.0	30.0	48.0	39.0	34.0	53.0	47.0	47.0	40.0	33.0	44.0	31.0
t23_fai-gene-cluster-1	30.0	24.0	27.0	27.0	39.0	30.0	28.0	26.0	28.0	28.0	30.0	33.0	36.0	32.0	27.0	0.0	31.0	41.0	23.0	29.0	30.0	26.0	33.0	31.0	28.0	23.0	25.0	37.0	41.0	26.0	24.0
t24_fai-gene-cluster-1	30.0	33.0	38.0	36.0	33.0	33.0	34.0	25.0	31.0	37.0	29.0	35.0	33.0	27.0	31.0	31.0	0.0	33.0	30.0	26.0	51.0	31.0	37.0	45.0	29.0	30.0	30.0	35.0	34.0	30.0	50.0
