ef	start	end	direction	label
EF2164	2071671	2073482	0	
EF2165	2073479	2074453	0	
EF2166	2074545	2075966	0	
EF2167	2075977	2076948	0	EF2167
EF2168	2076988	2077812	0	
EF2169	2077867	2079270	0	
EF2170	2079338	2080312	0	epaX
EF2171	2080314	2081372	0	
EF2172	2081385	2082089	0	
EF2173	2082363	2083541	1	
EF2174	2083902	2086583	0	
EF2175	2086827	2087675	0	
EF2176	2087691	2088449	0	EF2176
EF2177	2088584	2089981	0	
EF2178	2090087	2091388	0	
EF2179	2091417	2093387	0	
EF2180	2093421	2095562	0	epaO
EF2181	2095574	2098717	0	epaN
EF2182	2098707	2099924	0	
EF2183	2099937	2100731	0	
EF2184	2100979	2101320	1	
EF2185	2101597	2102775	1	
EF2186	2102800	2103051	0	
EF2187	2103109	2104281	0	
EF2188	2104378	2105082	0	
EF2189	2105075	2105440	0	
EF2190	2105440	2106165	0	epaI
EF2191	2106224	2107123	0	
EF2192	2107159	2108187	0	
EF2193	2108212	2108784	0	
EF2194	2108797	2109663	0	
EF2195	2109785	2110498	0	epaD
EF2196	2110502	2111329	0	epaC
EF2197	2111329	2112117	0	epaB
EF2198	2112239	2113375	0	epaA
EF2199	2113486	2114394	0	
EF2200	2114410	2115174	0	
