Cluster_ID	Statistic	Value
GCF_1938	Maximum of maximum E-values observed for any OG (log10)	-46.49485002168009
GCF_1938	Maximum of near-core OG E-values observed (log10):	-56.97061622231479
GCF_1938	Maximum distance between near-core OGs:	1
GCF_1938	Median CDS count:	31.5
GCF_1938	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8891129032258065
GCF_1592	Maximum of maximum E-values observed for any OG (log10)	-53.330683119433886
GCF_1592	Maximum of near-core OG E-values observed (log10):	-53.330683119433886
GCF_1592	Maximum distance between near-core OGs:	1
GCF_1592	Median CDS count:	15.0
GCF_1592	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_421	Maximum of maximum E-values observed for any OG (log10)	-205.62893213772824
GCF_421	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_421	Maximum distance between near-core OGs:	1
GCF_421	Median CDS count:	4.5
GCF_421	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9
GCF_1859	Maximum of maximum E-values observed for any OG (log10)	-40.681936665037234
GCF_1859	Maximum of near-core OG E-values observed (log10):	-40.681936665037234
GCF_1859	Maximum distance between near-core OGs:	1
GCF_1859	Median CDS count:	14.0
GCF_1859	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9333333333333333
GCF_1841	Maximum of maximum E-values observed for any OG (log10)	-34.95078197732982
GCF_1841	Maximum of near-core OG E-values observed (log10):	-34.95078197732982
GCF_1841	Maximum distance between near-core OGs:	4
GCF_1841	Median CDS count:	28.5
GCF_1841	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8774630541871922
GCF_252	Maximum of maximum E-values observed for any OG (log10)	-11.063486257521106
GCF_252	Maximum of near-core OG E-values observed (log10):	-11.063486257521106
GCF_252	Maximum distance between near-core OGs:	4
GCF_252	Median CDS count:	38
GCF_252	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.21052631578947367
GCF_671	Maximum of maximum E-values observed for any OG (log10)	-48.375717904164325
GCF_671	Maximum of near-core OG E-values observed (log10):	-100.0925886392254
GCF_671	Maximum distance between near-core OGs:	3
GCF_671	Median CDS count:	26
GCF_671	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6538461538461539
GCF_2126	Maximum of maximum E-values observed for any OG (log10)	-31.970616222314785
GCF_2126	Maximum of near-core OG E-values observed (log10):	-47.94692155651658
GCF_2126	Maximum distance between near-core OGs:	3
GCF_2126	Median CDS count:	32.0
GCF_2126	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8421052631578947
GCF_1643	Maximum of maximum E-values observed for any OG (log10)	-120.40560744962455
GCF_1643	Maximum of near-core OG E-values observed (log10):	-120.40560744962455
GCF_1643	Maximum distance between near-core OGs:	2
GCF_1643	Median CDS count:	15.0
GCF_1643	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6818181818181819
GCF_1878	Maximum of maximum E-values observed for any OG (log10)	-87.24033215531037
GCF_1878	Maximum of near-core OG E-values observed (log10):	-87.24033215531037
GCF_1878	Maximum distance between near-core OGs:	1
GCF_1878	Median CDS count:	4.0
GCF_1878	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_48	Maximum of maximum E-values observed for any OG (log10)	-52.95078197732981
GCF_48	Maximum of near-core OG E-values observed (log10):	-72.83863199776502
GCF_48	Maximum distance between near-core OGs:	16
GCF_48	Median CDS count:	27
GCF_48	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4074074074074074
GCF_1344	Maximum of maximum E-values observed for any OG (log10)	-39.80410034759076
GCF_1344	Maximum of near-core OG E-values observed (log10):	-54.72353819582675
GCF_1344	Maximum distance between near-core OGs:	1
GCF_1344	Median CDS count:	51.5
GCF_1344	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7686567164179104
GCF_2328	Maximum of maximum E-values observed for any OG (log10)	-41.89962945488243
GCF_2328	Maximum of near-core OG E-values observed (log10):	-41.89962945488243
GCF_2328	Maximum distance between near-core OGs:	1
GCF_2328	Median CDS count:	10.5
GCF_2328	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9545454545454546
GCF_972	Maximum of maximum E-values observed for any OG (log10)	-31.856985199745903
GCF_972	Maximum of near-core OG E-values observed (log10):	-50.45967052520912
GCF_972	Maximum distance between near-core OGs:	3
GCF_972	Median CDS count:	23.0
GCF_972	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9130434782608695
GCF_1879	Maximum of maximum E-values observed for any OG (log10)	-26.25884840114821
GCF_1879	Maximum of near-core OG E-values observed (log10):	-26.25884840114821
GCF_1879	Maximum distance between near-core OGs:	1
GCF_1879	Median CDS count:	4
GCF_1879	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.75
GCF_878	Maximum of maximum E-values observed for any OG (log10)	-35.75202673363819
GCF_878	Maximum of near-core OG E-values observed (log10):	-89.15739076038943
GCF_878	Maximum distance between near-core OGs:	3
GCF_878	Median CDS count:	20.5
GCF_878	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7427536231884058
GCF_474	Maximum of maximum E-values observed for any OG (log10)	-36.48412615628832
GCF_474	Maximum of near-core OG E-values observed (log10):	-36.48412615628832
GCF_474	Maximum distance between near-core OGs:	2
GCF_474	Median CDS count:	9.5
GCF_474	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7556818181818181
GCF_2088	Maximum of maximum E-values observed for any OG (log10)	-125.93930215964636
GCF_2088	Maximum of near-core OG E-values observed (log10):	-125.93930215964636
GCF_2088	Maximum distance between near-core OGs:	1
GCF_2088	Median CDS count:	5.0
GCF_2088	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_465	Maximum of maximum E-values observed for any OG (log10)	-32.66554624884906
GCF_465	Maximum of near-core OG E-values observed (log10):	-32.66554624884906
GCF_465	Maximum distance between near-core OGs:	1
GCF_465	Median CDS count:	17.5
GCF_465	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8166666666666667
GCF_1233	Maximum of maximum E-values observed for any OG (log10)	-40.60554831917378
GCF_1233	Maximum of near-core OG E-values observed (log10):	-43.86327943284359
GCF_1233	Maximum distance between near-core OGs:	8
GCF_1233	Median CDS count:	18.0
GCF_1233	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.73125
GCF_906	Maximum of maximum E-values observed for any OG (log10)	-19.412289034981086
GCF_906	Maximum of near-core OG E-values observed (log10):	-64.09205147838772
GCF_906	Maximum distance between near-core OGs:	2
GCF_906	Median CDS count:	36.5
GCF_906	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8346036585365854
GCF_528	Maximum of maximum E-values observed for any OG (log10)	-7.093664958194909
GCF_528	Maximum of near-core OG E-values observed (log10):	-7.093664958194909
GCF_528	Maximum distance between near-core OGs:	1
GCF_528	Median CDS count:	9.0
GCF_528	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_683	Maximum of maximum E-values observed for any OG (log10)	-108.07262963696097
GCF_683	Maximum of near-core OG E-values observed (log10):	-108.07262963696097
GCF_683	Maximum distance between near-core OGs:	1
GCF_683	Median CDS count:	16.0
GCF_683	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2312	Maximum of maximum E-values observed for any OG (log10)	-44.92811799269387
GCF_2312	Maximum of near-core OG E-values observed (log10):	-136.181114585406
GCF_2312	Maximum distance between near-core OGs:	1
GCF_2312	Median CDS count:	14.0
GCF_2312	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.875
GCF_109	Maximum of maximum E-values observed for any OG (log10)	-64.8632794328436
