OG	Start	End	Direction	SC	Metric
OG_86	1	1813.0	0		0.534090909090909
OG_87	2013.0	2973.0	0		0.999188311688312
OG_88	3173.0	4595.0	0		0.416396103896104
OG_89	4795.0	5767.0	0		0.326298701298701
OG_90	5967.0	6792.0	0		0.439935064935065
OG_92	6992.0	8408.0	0		0.943181818181818
OG_93	8608.0	9589.0	0		0.996753246753247
OG_94	9789.0	10848.0	0		0.767857142857143
OG_95	11048.0	11753.0	0		0.768668831168831
OG_96	11953.0	13132.0	1	//	0.0113636363636364
OG_97	13332.0	16014.0	0		0.732954545454545
OG_98	16214.0	17063.0	0		0.783279220779221
OG_99	17263.0	18022.0	0		0.731331168831169
OG_100	18222.0	19620.0	0	//	1.0
OG_101	19820.0	21122.0	0		0.999188311688312
OG_103	21322.0	23293.0	0		1.0
OG_104	23493.0	25635.0	0		1.0
OG_105	25835.0	28979.0	0		1.0
OG_106	29179.0	30397.0	0		1.0
OG_107	30597.0	31392.0	0		1.0
OG_108	31592.0	31934.0	1		1.0
OG_96	32134.0	33313.0	1	//	0.0113636363636364
OG_109	33513.0	33765.0	0		0.0040584415584415
OG_110	33965.0	35138.0	0		0.0121753246753247
OG_111	35338.0	36376.0	0		0.451298701298701
OG_113	36576.0	36927.0	0		1.0
OG_114	37127.0	37853.0	0		1.0
OG_115	38053.0	38896.0	0		1.0
OG_116	39096.0	40125.0	0		1.0
OG_117	40325.0	40898.0	0		1.0
OG_118	41098.0	41965.0	0		1.0
OG_119	42165.0	42879.0	0	//	1.0
OG_120	43079.0	43907.0	0		1.0
OG_121	44107.0	44890.0	0		1.0
OG_122	45090.0	46239.0	0		0.999188311688312
