	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	0.0	33.0	37.0	37.0	35.0	33.0	34.0	32.0	32.0	38.0	35.0	36.0	35.0	33.0	34.0	34.0	38.0	36.0	31.0	30.0	38.0	31.0	38.0	38.0	33.0	33.0	31.0	38.0	36.0	33.0	37.0
t10_fai-gene-cluster-1	47.0	0.0	50.0	50.0	52.0	49.0	48.0	42.0	47.0	53.0	49.0	46.0	43.0	44.0	45.0	50.0	48.0	53.0	45.0	41.0	48.0	43.0	54.0	48.0	44.0	46.0	43.0	53.0	51.0	48.0	51.0
t11_fai-gene-cluster-1	44.0	43.0	0.0	49.0	47.0	46.0	44.0	39.0	42.0	52.0	45.0	45.0	45.0	43.0	41.0	46.0	48.0	50.0	39.0	36.0	47.0	36.0	48.0	53.0	40.0	41.0	35.0	48.0	49.0	43.0	50.0
t12_fai-gene-cluster-1	39.0	40.0	44.0	0.0	42.0	40.0	40.0	36.0	40.0	44.0	40.0	41.0	39.0	36.0	39.0	39.0	44.0	44.0	35.0	33.0	43.0	36.0	40.0	45.0	39.0	36.0	37.0	39.0	42.0	40.0	45.0
t13_fai-gene-cluster-1	42.0	44.0	43.0	44.0	0.0	48.0	46.0	44.0	47.0	46.0	48.0	46.0	47.0	47.0	45.0	50.0	43.0	57.0	45.0	40.0	42.0	44.0	48.0	43.0	43.0	47.0	42.0	48.0	54.0	48.0	44.0
t14_fai-gene-cluster-1	43.0	51.0	50.0	52.0	56.0	0.0	53.0	49.0	65.0	51.0	58.0	51.0	49.0	53.0	50.0	53.0	48.0	57.0	49.0	47.0	48.0	48.0	51.0	49.0	51.0	50.0	48.0	54.0	55.0	62.0	52.0
t15_fai-gene-cluster-1	42.0	45.0	48.0	47.0	48.0	49.0	0.0	44.0	46.0	47.0	48.0	47.0	42.0	44.0	44.0	45.0	47.0	50.0	44.0	42.0	47.0	45.0	45.0	47.0	47.0	45.0	46.0	47.0	48.0	45.0	46.0
t16_fai-gene-cluster-1	46.0	49.0	46.0	48.0	54.0	48.0	48.0	0.0	49.0	49.0	44.0	50.0	53.0	54.0	48.0	56.0	45.0	56.0	51.0	54.0	45.0	50.0	47.0	45.0	48.0	48.0	51.0	49.0	55.0	52.0	47.0
t17_fai-gene-cluster-1	44.0	50.0	52.0	52.0	57.0	67.0	52.0	52.0	0.0	53.0	58.0	51.0	49.0	51.0	49.0	53.0	52.0	58.0	51.0	50.0	50.0	49.0	51.0	49.0	49.0	54.0	49.0	54.0	56.0	71.0	55.0
t18_fai-gene-cluster-1	45.0	46.0	50.0	49.0	50.0	47.0	44.0	41.0	44.0	0.0	45.0	46.0	48.0	46.0	42.0	49.0	46.0	53.0	41.0	38.0	47.0	40.0	52.0	50.0	40.0	42.0	40.0	51.0	52.0	46.0	50.0
