Dereplication_Type_Comparison	Evolutionary_Statistic	Homolog_Group	Value_1	Value_2
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2164	0.370967742	0.466666667
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2165	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2170	0.983870968	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2194	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2172	0.709677419	0.786666667
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2198	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2179	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2196	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2180	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2191	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2181	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2168	0.387096774	0.453333333
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2200	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2199	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2178	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2182	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2195	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2189	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2167	NA	0.293333333
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2183	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2166	0.306451613	0.386666667
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2169	0.822580645	0.853333333
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2175	0.758064516	0.8
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2171	0.693548387	0.786666667
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2177	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2176	0.580645161	0.626666667
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2174	0.64516129	NA
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2190	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2192	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2197	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2184	1	1
GC_99I99C_Derep vs. GW_Derep	1. Conservation	EF2193	1	1
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2164	0.62664643	2.104103394
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2165	0.030942364	0.165203688
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2170	3.78722474	3.768052054
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2194	-0.872756986	-1.221720719
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2172	0.233930587	0.126673764
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2198	-1.419143776	-1.151188446
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2179	-0.968990112	-0.897056693
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2196	-0.674996401	-1.166160539
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2180	-1.032322031	-1.089416621
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2191	-1.826459764	-1.664813838
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2181	-1.168492642	-1.206549564
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2168	3.229035729	2.356652784
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2200	-0.474720739	-0.691549535
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2199	-1.20773547	-1.400813161
GC_99I99C_Derep vs. GW_Derep	6. Tajimas D	EF2178	-1.623216331	-1.459455505
