Orthogroup	t30_fai-gene-cluster-1	t25_fai-gene-cluster-1
OG0000000	AAL_000156	AAG_000158
OG0000001	AAL_000144	AAG_000167
OG0000002	AAL_000145	AAG_000148, AAG_000149, AAG_000150
OG0000003	AAL_000154	AAG_000155
OG0000003	AAL_000155	AAG_000157
OG0000004	AAL_000130, AAL_000129	AAG_000132
OG0000004	AAL_000131	AAG_000133
OG0000005	AAL_000159, AAL_000160	AAG_000163
OG0000006	AAL_000139	AAG_000142
OG0000006	AAL_000138	AAG_000141
OG0000007	AAL_000152, AAL_000153, AAL_000151	AAG_000154
OG0000008	AAL_000150	AAG_000153
OG0000009	AAL_000172	AAG_000172
OG0000009	AAL_000173	AAG_000173
OG0000010	AAL_000134	AAG_000135
OG0000010	AAL_000135	AAG_000136
OG0000011	AAL_000136	AAG_000138, AAG_000137
OG0000012	AAL_000183	AAG_000183
OG0000012	AAL_000182	AAG_000181
OG0000013	AAL_000140	AAG_000143
OG0000014	AAL_000179	AAG_000178
OG0000015	AAL_000146	AAG_000151
OG0000016	AAL_000167	AAG_000170
OG0000016	AAL_000165	AAG_000169
OG0000017	AAL_000174	AAG_000174
OG0000018	AAL_000137	AAG_000140, AAG_000139
OG0000019	AAL_000184	AAG_000184
OG0000020	AAL_000142	AAG_000144
OG0000021	AAL_000171	AAG_000171
OG0000022	AAL_000128	AAG_000131
OG0000023	AAL_000143	AAG_000145
OG0000024	AAL_000176	AAG_000176
OG0000025	AAL_000178	AAG_000177
OG0000026	AAL_000181	AAG_000180
OG0000027	AAL_000148	AAG_000152
OG0000028	AAL_000175	AAG_000175
OG0000029	AAL_000180	AAG_000179
OG0000030	AAL_000133	AAG_000134
OG0000032	AAL_000185	AAG_000185
OG0000033	AAL_000162	AAG_000166
OG0000034	AAL_000161	AAG_000164, AAG_000165
OG0000036	AAL_000164	AAG_000168
