OG	Start	End	Direction	SC	Metric
OG_86	1	1813.0	0		0.645442376
OG_87	2013.0	2973.0	0		1.004797392
OG_88	3173.0	4595.0	0		1.878083701
OG_89	4795.0	5767.0	0		3.224735333
OG_90	5967.0	6792.0	0		3.098928969
OG_92	6992.0	8408.0	0		5 # 7.497275896
OG_93	8608.0	9589.0	0		5 # 5.780884423
OG_94	9789.0	10848.0	0		1.985143523
OG_95	11048.0	11753.0	0		0.169081248
OG_96	11953.0	13132.0	1	//	nan
OG_97	13332.0	16014.0	0		0.858831815
OG_98	16214.0	17063.0	0		2.942485381
OG_99	17263.0	18022.0	0		-1.027490019
OG_100	18222.0	19620.0	0	//	nan
OG_101	19820.0	21122.0	0		-1.611305945
OG_103	21322.0	23293.0	0		-1.279042204
OG_104	23493.0	25635.0	0		-1.109501133
OG_105	25835.0	28979.0	0		-1.105722742
OG_106	29179.0	30397.0	0		-0.467225705
OG_107	30597.0	31392.0	0		-2.011443207
OG_108	31592.0	31934.0	1		-0.579080898
OG_96	32134.0	33313.0	1	//	nan
OG_109	33513.0	33765.0	0		nan # < 3 segregating sites!
OG_110	33965.0	35138.0	0		1.472359411
OG_111	35338.0	36376.0	0		-2.123295511
OG_113	36576.0	36927.0	0		0.338242447
OG_114	37127.0	37853.0	0		-1.506018656
OG_115	38053.0	38896.0	0		-1.47623869
OG_116	39096.0	40125.0	0		-1.019961148
OG_117	40325.0	40898.0	0		-1.589160521
OG_118	41098.0	41965.0	0		-1.194250014
OG_119	42165.0	42879.0	0	//	nan
OG_120	43079.0	43907.0	0		-1.001941118
OG_121	44107.0	44890.0	0		-1.135957495
OG_122	45090.0	46239.0	0		-1.207345692
OG_124	46439.0	47348.0	0		-1.578655988
OG_125	47548.0	48313.0	0		-0.573386943
