x	y	xend	yend
1	0	3	1
7	0	9	1
10	0	12	1
13	0	15	1
25	0	27	1
28	0	30	1
31	0	33	1
37	0	39	1
58	0	60	1
67	0	69	1
70	0	72	1
73	0	75	1
82	0	84	1
94	0	96	1
97	0	99	1
100	0	102	1
103	0	105	1
106	0	108	1
109	0	111	1
112	0	114	1
118	0	120	1
121	0	123	1
124	0	126	1
127	0	129	1
133	0	135	1
142	0	144	1
148	0	150	1
163	0	165	1
172	0	174	1
184	0	186	1
187	0	189	1
190	0	192	1
193	0	195	1
199	0	201	1
202	0	204	1
205	0	207	1
211	0	213	1
214	0	216	1
217	0	219	1
226	0	228	1
232	0	234	1
238	0	240	1
244	0	246	1
253	0	255	1
256	0	258	1
259	0	261	1
262	0	264	1
265	0	267	1
268	0	270	1
274	0	276	1
277	0	279	1
280	0	282	1
283	0	285	1
298	0	300	1
301	0	303	1
304	0	306	1
307	0	309	1
331	0	333	1
334	0	336	1
340	0	342	1
361	0	363	1
364	0	366	1
370	0	372	1
376	0	378	1
421	0	423	1
424	0	426	1
439	0	441	1
442	0	444	1
457	0	459	1
460	0	462	1
469	0	471	1
475	0	477	1
478	0	480	1
481	0	483	1
484	0	486	1
490	0	492	1
493	0	495	1
496	0	498	1
499	0	501	1
502	0	504	1
508	0	510	1
511	0	513	1
520	0	522	1
523	0	525	1
526	0	528	1
529	0	531	1
535	0	537	1
538	0	540	1
550	0	552	1
553	0	555	1
559	0	561	1
562	0	564	1
571	0	573	1
574	0	576	1
583	0	585	1
589	0	591	1
592	0	594	1
595	0	597	1
598	0	600	1
604	0	606	1
607	0	609	1
610	0	612	1
616	0	618	1
619	0	621	1
622	0	624	1
628	0	630	1
631	0	633	1
637	0	639	1
640	0	642	1
643	0	645	1
646	0	648	1
649	0	651	1
661	0	663	1
667	0	669	1
682	0	684	1
688	0	690	1
691	0	693	1
694	0	696	1
697	0	699	1
727	0	729	1
739	0	741	1
745	0	747	1
754	0	756	1
757	0	759	1
760	0	762	1
766	0	768	1
769	0	771	1
772	0	774	1
778	0	780	1
781	0	783	1
787	0	789	1
790	0	792	1
793	0	795	1
829	0	831	1
838	0	840	1
850	0	852	1
853	0	855	1
859	0	861	1
862	0	864	1
868	0	870	1
871	0	873	1
874	0	876	1
880	0	882	1
889	0	891	1
895	0	897	1
898	0	900	1
904	0	906	1
910	0	912	1
916	0	918	1
922	0	924	1
925	0	927	1
928	0	930	1
931	0	933	1
934	0	936	1
955	0	957	1
961	0	963	1
964	0	966	1
970	0	972	1
1000	0	1002	1
1003	0	1005	1
1009	0	1011	1
