Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
OG_36	True	0.370967742	1812	212	"+"	0.627941318	0.777011494	0.303871059	0.461121579	0.579852267	1.00255997	0.306220096	0	0.298565121	-0.169230769	NA	213	-3.056237974	0	EF2164 (7.12e-246)	NA	NA	VIMSS356317 (1.97E-241)	NA	NA	NA	NA	NA	Family of unknown function (DUF6056)
OG_56	True	1	951	202	"+"	0.040875736	0.137130802	0.034844308	0.588497848	0.985428319	1.004504505	0.039513678	0	0.371188223	-0.094975031	NA	70	-2.083332386	0.085714286	EF2165 (4.37e-227)	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-] (5.517877437981769E-90)	UDP-glucose 4-epimerase GalE (1.6743557930383515E-54)	WP_002383748.1 (1.21E-222)	NA	NA	BGC0001947|c1|6292-7332|+|AWL83831.1|Gne2|AWL83831.1 (8.77E-55)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (2.3363573201896723E-86)	VFG047147(gb|WP_003027881) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. mediasiatica FSC147]; VFG047144(gb|WP_010030803) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. holarctica FTNF002-00]; VFG047149(gb|WP_003029668) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. tularensis SCHU S4] (1.51E-60)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein; RmlD substrate binding domain
OG_57	True	0.306451613	1422	197	"+"	1.829907987	0.057082452	0.023719015	0.240563799	0.992550744	1.005291005	0	0	0.312939522	-0.22247191	NA	41	-3.774688752	0	EF2166 (0.0)	NA	NA	VIMSS356319 (0.0)	NA	NA	NA	NA	VFG016373(gb|WP_001108298) (BC_RS26255) oligosaccharide flippase family protein [Polysaccharide capsule (VF0659) - Immune modulation (VFC0258)] [Bacillus cereus ATCC 14579] (2.77E-114)	NA
OG_58	True	0.177419355	972	196	"+"	1.610317779	0.062951496	0.027495411	0	0.97583789	1.003643096	0	0	0.308641975	-0.221843003	NA	23	-3.240999943	0.130434783	EF2167 (2.31e-235)	rhamnosyltransferase (3.1161735892584945E-28)	poly-beta-1,6-N-acetyl-D-glucosamine synthase (1.9007308380984105E-8)	VIMSS356320 (6.39E-231)	NA	NA	BGC0000796|c1|21678-22622|+|ADG29298.1|putative_rhamnosyltransferase|ADG29298.1 (9.35E-13)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (2.245989831125592E-16)	VFG006055(gb|WP_002902064) (SSA_RS10860) glycosyltransferase family 2 protein [Capsule (VF0144) - Immune modulation (VFC0258)] [Streptococcus sanguinis SK36] (2.55E-22)	Glycosyl transferase family 2
OG_59	True	0.387096774	825	187	"+"	3.238957788	0.576642336	0.294461083	0.389380976	0.549268172	1.004547348	0.028368794	0	0.312727273	-0.15503876	NA	74	-2.805098089	0	EF2168 (3.58e-155)	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-] (7.56215747139773E-72)	NA	VIMSS356321 (9.88E-151)	NA	NA	NA	REFSEQ bifunctional phosphorylcholine metabolism protein licd and glycosyltransferase domain[Xu] (2.2469071126614904E-10)	VFG013178(gb|WP_012341378) (licD) phosphocholine transferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus somnus 2336]; VFG013464(gb|WP_011609611) (licD) phosphocholine transferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus somnus 129PT] (3.27E-41)	LicD family
OG_60	True	0.822580645	1395	186	"+"	4.446071626	0.804494382	0.471034193	0.565787131	0.364517292	1.004547348	0.104627767	0	0.292207792	-0.169724771	NA	210	-3.049387825	0	EF2169 (6.93e-95)	O-antigen ligase [EC:2.4.99.26] (3.2928450916617306E-38)	oligosaccharide repeat unit polymerase (1.711033262167913E-11)	WP_002391475.1 (2.69E-113)	NA	NA	NA	NA	NA	O-antigen ligase like membrane protein; O-Antigen ligase
OG_61	True	0.983870968	981	177	"+"	3.767437533	0.782654127	0.411075102	0.420098802	0.526571972	1.005078548	0.050595238	0	0.305810398	-0.227272727	NA	168	-3.022507094	0	EF2170|epaX (7.69e-130)	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-] (2.5190953961816305E-78)	glycosyltransferase (4.313563858065035E-38)	Q832Q0 (2.13E-125)	NA	NA	BGC0000746|c1|3726-4700|+|AAL56379.1|CpsI|AAL56379.1; BGC0000740|c1|3726-4700|+|AAL57057.1|CpsIaI|AAL57057.1; BGC0000744|c1|3612-4580|+|AAL56365.1|CpsI|AAL56365.1; BGC0000747|c1|3726-4700|+|AAL56386.1|CpsI|AAL56386.1; BGC0000745|c1|3612-4580|+|AAL56372.1|CpsI|AAL56372.1; BGC0000748|c1|3726-4700|+|AAL56393.1|CpsI|AAL56393.1; BGC0000741|c1|3612-4580|+|AAL57076.1|CpsI|AAL57076.1 (3.11E-43)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (2.7897568292647326E-37)	VFG046740(gb|WP_013922877) (F7308_RS05565) glycosyltransferase family 2 protein [Capsule (VF0543) - Immune modulation (VFC0258)] [Francisella sp. TX077308] (3.39E-49)	Glycosyl transferase family 2; Glycosyltransferase like family 2; Glycosyltransferase like family 2
OG_63	True	0.693548387	1059	173	"+"	1.681742295	0.401146132	0.149145469	0.138670487	0.989750695	1.004424779	0.025139665	0	0.363550519	-0.147286822	NA	58	-2.790575308	0.068965517	EF2171 (2e-246)	UDP-glucuronate decarboxylase [EC:4.1.1.35] (2.2891812070698978E-65)	dTDP-glucose 4,6-dehydratase (1.9261244502708625E-32)	WP_002378507.1 (1.36E-242)	NA	NA	BGC0000238|c1|49875-50855|-|ABX71131.1|Lct48|ABX71131.1; BGC0001438|c1|18997-19995|-|B9W61_07245|dTDP-glucose_4,6-dehydratase|OWA25237.1 (1.14E-20)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (8.707153222738259E-44)	VFG013369(gb|WP_011272256) (rffG) dTDP-glucose 46-dehydratase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae 86-028NP] (7.57E-25)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein
OG_64	True	0.709677419	705	170	"+"	0.233930587	0.104434907	0.029811383	0.090385733	0.99801673	1.008612328	0.004273504	0	0.343971631	-0.129889123	NA	24	-3.114971976	0	EF2172 (2.41e-172)	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40] (4.6458581664925633E-67)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (1.3671846293902154E-45)	VIMSS356325 (6.65E-168)	NA	NA	BGC0000806|c1|48922-49656|+|AHL24486.1|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase|AHL24486.1 (1.67E-20)	sp|Q5UNV4|UNAP_MIMIV Probable UDP-N-acetylglucosamine pyrophosphorylase[Xh] (0.00000127176380099206)	VFG000688(gb|AAP42181) (bcs1') Bcs1' [Capsule (VF0043) - Immune modulation (VFC0258)] [Haemophilus influenzae str. 1007] (3.46E-21)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MobA-like NTP transferase domain
OG_65	True	0.64516129	2458.5	165	"+"	0.789830389	0.676470588	0.133743893	0.184651643	0.729769187	1.001595301	0.635616438	0.382352941	0.358314691	-0.111377246	NA	320	-2.460025967	0.009375	EF2174|OG1RF_0163 (0.0)	lysozyme (3.108894762092119E-39)	NA	WP_014525033.1 (0.0)	NA	NA	NA	REFSEQ endolysin[Xu] (1.201054642962326E-12)	NA	Domain of unknown function (DUF5776); Glycosyl hydrolases family 25
