	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	37	34	36	36	35	36	34	32	35	37	36	34	34	33	35	35	37	35	34	32	37	34	37	37	35	35	33	37	35	34	37
t10_fai-gene-cluster-1	34	35	33	35	32	33	32	30	33	34	33	31	31	31	33	32	34	32	32	30	34	32	34	34	33	32	31	34	32	32	34
t11_fai-gene-cluster-1	36	33	36	35	34	35	33	31	34	36	35	33	33	32	34	34	36	34	33	31	36	33	36	36	34	34	32	36	34	33	36
t12_fai-gene-cluster-1	36	35	35	37	34	35	33	31	35	36	35	33	33	32	34	34	36	34	33	31	36	33	36	36	34	34	32	36	34	34	36
t13_fai-gene-cluster-1	35	32	34	34	35	34	32	32	33	35	34	34	34	33	33	35	35	35	32	32	35	32	35	35	33	33	32	35	35	32	35
t14_fai-gene-cluster-1	36	33	35	35	34	37	34	31	36	36	36	33	33	32	34	34	36	34	33	31	36	33	36	36	34	34	32	36	34	35	36
t15_fai-gene-cluster-1	34	32	33	33	32	34	34	30	33	34	34	32	31	31	33	32	34	32	32	30	34	32	34	34	33	32	31	34	32	32	34
t16_fai-gene-cluster-1	32	30	31	31	32	31	30	34	31	32	31	31	32	33	33	32	32	32	32	31	33	32	32	32	32	32	32	32	32	32	32
t17_fai-gene-cluster-1	35	33	34	35	33	36	33	31	38	35	36	32	32	31	33	33	35	33	33	31	35	33	35	35	33	35	32	35	33	37	35
t18_fai-gene-cluster-1	37	34	36	36	35	36	34	32	35	37	36	34	34	33	35	35	37	35	34	32	37	34	37	37	35	35	33	37	35	34	37
t19_fai-gene-cluster-1	36	33	35	35	34	36	34	31	36	36	37	33	33	32	34	34	36	34	33	31	36	33	36	36	34	35	32	36	34	35	36
t1_fai-gene-cluster-1	34	31	33	33	34	33	32	31	32	34	33	34	33	32	32	34	34	34	31	31	34	31	34	34	32	32	31	34	34	31	34
t20_fai-gene-cluster-1	34	31	33	33	34	33	31	32	32	34	33	33	34	32	33	34	34	34	32	31	34	32	34	34	33	33	31	34	34	32	34
t21_fai-gene-cluster-1	33	31	32	32	33	32	31	33	31	33	32	32	32	35	33	33	33	33	31	31	34	31	33	33	32	31	32	33	33	31	33
t22_fai-gene-cluster-1	35	33	34	34	33	34	33	33	33	35	34	32	33	33	37	33	35	33	35	31	35	35	35	35	35	35	34	35	33	34	35
t23_fai-gene-cluster-1	35	32	34	34	35	34	32	32	33	35	34	34	34	33	33	35	35	35	32	32	35	32	35	35	33	33	32	35	35	32	35
t24_fai-gene-cluster-1	37	34	36	36	35	36	34	32	35	37	36	34	34	33	35	35	37	35	34	32	37	34	37	37	35	35	33	37	35	34	37
t25_fai-gene-cluster-1	35	32	34	34	35	34	32	32	33	35	34	34	34	33	33	35	35	35	32	32	35	32	35	35	33	33	32	35	35	32	35
t26_fai-gene-cluster-1	34	32	33	33	32	33	32	32	33	34	33	31	32	31	35	32	34	32	35	31	34	35	34	34	34	35	33	34	32	33	34
t27_fai-gene-cluster-1	32	30	31	31	32	31	30	31	31	32	31	31	31	31	31	32	32	32	31	32	32	31	32	32	31	31	31	32	32	30	32
t28_fai-gene-cluster-1	37	34	36	36	35	36	34	33	35	37	36	34	34	34	35	35	37	35	34	32	38	34	37	37	35	35	33	37	35	34	37
t29_fai-gene-cluster-1	34	32	33	33	32	33	32	32	33	34	33	31	32	31	35	32	34	32	35	31	34	35	34	34	34	35	33	34	32	33	34
t2_fai-gene-cluster-1	37	34	36	36	35	36	34	32	35	37	36	34	34	33	35	35	37	35	34	32	37	34	37	37	35	35	33	37	35	34	37
t30_fai-gene-cluster-1	37	34	36	36	35	36	34	32	35	37	36	34	34	33	35	35	37	35	34	32	37	34	37	37	35	35	33	37	35	34	37
