Dereplication_Type_Comparison	Evolutionary_Statistic	Homolog_Group	Value_1	Value_2
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2197	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2184	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2178	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2190	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2168	0.387096774	0.32
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2169	0.822580645	0.76
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2175	0.758064516	0.8
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2199	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2164	0.370967742	0.48
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2165	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2171	0.693548387	0.72
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2172	0.709677419	0.76
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2192	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2177	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2193	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2183	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2179	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2198	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2170	0.983870968	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2191	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2200	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2166	0.306451613	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2180	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2181	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2174	0.64516129	0.6
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2195	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2189	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2196	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2176	0.580645161	0.52
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2182	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	1. Conservation	EF2194	1	1
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2197	-1.338669135	-0.982049701
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2184	-1.118060928	-1.26669562
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2178	-1.623216331	-1.424440478
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2190	-0.984371601	-1.03561226
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2168	3.238957788	2.328811312
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2169	4.446071626	3.167498675
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2175	2.467294584	2.248555729
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2199	-1.20773547	-1.051851914
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2164	0.627941318	0.388285762
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2165	0.040875736	0.427544714
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2171	1.681742295	1.089949065
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2172	0.233930587	-0.041071194
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2192	-0.827072629	-0.887631034
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2177	-1.174056212	-1.073227763
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2193	-1.409068348	-1.285743737
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2183	-2.210971783	-0.47245513
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2179	-0.968990112	-0.860918317
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2198	-1.419143776	-1.58043964
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2170	3.767437533	2.942114299
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2191	-1.826459764	-1.970709399
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2200	-0.474720739	-0.455816589
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2166	1.829907987	NA
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2180	-1.032322031	-0.91895076
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2181	-1.168492642	-1.108867409
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2174	0.789830389	-0.192532922
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2195	-0.742649216	-0.648688017
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2189	-0.860870058	-0.27531473
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2196	-0.674996401	-0.367022288
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2176	-1.105812188	-1.100076009
GC_99I99C_Derep vs. GC_97I95C_Derep	6. Tajimas D	EF2182	-0.508475854	-0.684723778
