Cluster_ID	Statistic	Value
PhamClust_341	Maximum of maximum E-values observed for any OG (log10)	-16.46092390120722
PhamClust_341	Maximum of near-core OG E-values observed (log10):	-16.46092390120722
PhamClust_341	Maximum distance between near-core OGs:	2
PhamClust_341	Median CDS count:	21.5
PhamClust_341	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.698051948051948
PhamClust_34	Maximum of maximum E-values observed for any OG (log10)	-6.974694134735229
PhamClust_34	Maximum of near-core OG E-values observed (log10):	-6.974694134735229
PhamClust_34	Maximum distance between near-core OGs:	18
PhamClust_34	Median CDS count:	62
PhamClust_34	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6
PhamClust_135	Maximum of maximum E-values observed for any OG (log10)	-8.036684488613888
PhamClust_135	Maximum of near-core OG E-values observed (log10):	-9.692503962086786
PhamClust_135	Maximum distance between near-core OGs:	16
PhamClust_135	Median CDS count:	133
PhamClust_135	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.368
PhamClust_347	Maximum of maximum E-values observed for any OG (log10)	-12.714442690992225
PhamClust_347	Maximum of near-core OG E-values observed (log10):	-12.714442690992225
PhamClust_347	Maximum distance between near-core OGs:	12
PhamClust_347	Median CDS count:	88.0
PhamClust_347	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.35520833333333335
PhamClust_143	Maximum of maximum E-values observed for any OG (log10)	-9.642065152999546
PhamClust_143	Maximum of near-core OG E-values observed (log10):	-9.642065152999546
PhamClust_143	Maximum distance between near-core OGs:	15
PhamClust_143	Median CDS count:	66
PhamClust_143	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.5606060606060606
PhamClust_315	Maximum of maximum E-values observed for any OG (log10)	-24.18708664335714
PhamClust_315	Maximum of near-core OG E-values observed (log10):	-54.21041928783557
PhamClust_315	Maximum distance between near-core OGs:	21
PhamClust_315	Median CDS count:	48.0
PhamClust_315	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4583333333333333
PhamClust_123	Maximum of maximum E-values observed for any OG (log10)	-4.659555885159881
PhamClust_123	Maximum of near-core OG E-values observed (log10):	-4.659555885159881
PhamClust_123	Maximum distance between near-core OGs:	12
PhamClust_123	Median CDS count:	51
PhamClust_123	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6470588235294118
PhamClust_323	Maximum of maximum E-values observed for any OG (log10)	-24.856985199745903
PhamClust_323	Maximum of near-core OG E-values observed (log10):	-24.856985199745903
PhamClust_323	Maximum distance between near-core OGs:	8
PhamClust_323	Median CDS count:	72.5
PhamClust_323	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7603928299008391
PhamClust_390	Maximum of maximum E-values observed for any OG (log10)	-20.978810700930058
PhamClust_390	Maximum of near-core OG E-values observed (log10):	-20.978810700930058
PhamClust_390	Maximum distance between near-core OGs:	3
PhamClust_390	Median CDS count:	39.0
PhamClust_390	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8998022412656559
PhamClust_31	Maximum of maximum E-values observed for any OG (log10)	-7.774690718274136
PhamClust_31	Maximum of near-core OG E-values observed (log10):	-14.910094888560602
PhamClust_31	Maximum distance between near-core OGs:	30
PhamClust_31	Median CDS count:	80
PhamClust_31	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4444444444444444
PhamClust_233	Maximum of maximum E-values observed for any OG (log10)	-7.785156151952301
PhamClust_233	Maximum of near-core OG E-values observed (log10):	-17.47237009912866
PhamClust_233	Maximum distance between near-core OGs:	5
PhamClust_233	Median CDS count:	210
PhamClust_233	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9282296650717703
PhamClust_103	Maximum of maximum E-values observed for any OG (log10)	-5.070581074285707
PhamClust_103	Maximum of near-core OG E-values observed (log10):	-11.823908740944317
PhamClust_103	Maximum distance between near-core OGs:	8
PhamClust_103	Median CDS count:	66
PhamClust_103	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.5882352941176471
PhamClust_198	Maximum of maximum E-values observed for any OG (log10)	-9.072629636960976
PhamClust_198	Maximum of near-core OG E-values observed (log10):	-9.072629636960976
PhamClust_198	Maximum distance between near-core OGs:	15
PhamClust_198	Median CDS count:	211.0
PhamClust_198	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6066711590296496
PhamClust_378	Maximum of maximum E-values observed for any OG (log10)	-13.779891911959943
PhamClust_378	Maximum of near-core OG E-values observed (log10):	-13.779891911959943
PhamClust_378	Maximum distance between near-core OGs:	4
PhamClust_378	Median CDS count:	190
PhamClust_378	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.868421052631579
PhamClust_359	Maximum of maximum E-values observed for any OG (log10)	-9.657577319177793
PhamClust_359	Maximum of near-core OG E-values observed (log10):	-9.657577319177793
PhamClust_359	Maximum distance between near-core OGs:	4
PhamClust_359	Median CDS count:	84
PhamClust_359	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9285714285714286
PhamClust_54	Maximum of maximum E-values observed for any OG (log10)	-7.3334820194451185
PhamClust_54	Maximum of near-core OG E-values observed (log10):	-7.3334820194451185
PhamClust_54	Maximum distance between near-core OGs:	11
PhamClust_54	Median CDS count:	54
PhamClust_54	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6909090909090909
PhamClust_348	Maximum of maximum E-values observed for any OG (log10)	-19.21752737583371
PhamClust_348	Maximum of near-core OG E-values observed (log10):	-19.21752737583371
PhamClust_348	Maximum distance between near-core OGs:	3
PhamClust_348	Median CDS count:	21.0
PhamClust_348	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7636363636363637
PhamClust_343	Maximum of maximum E-values observed for any OG (log10)	-16.806875401645538
PhamClust_343	Maximum of near-core OG E-values observed (log10):	-16.806875401645538
PhamClust_343	Maximum distance between near-core OGs:	7
PhamClust_343	Median CDS count:	68.0
PhamClust_343	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4265628379839931
PhamClust_409	Maximum of maximum E-values observed for any OG (log10)	-20.368556230986826
PhamClust_409	Maximum of near-core OG E-values observed (log10):	-20.368556230986826
PhamClust_409	Maximum distance between near-core OGs:	6
PhamClust_409	Median CDS count:	73.5
PhamClust_409	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8027582376897445
PhamClust_114	Maximum of maximum E-values observed for any OG (log10)	-17.084072788302883
PhamClust_114	Maximum of near-core OG E-values observed (log10):	-30.72353819582675
PhamClust_114	Maximum distance between near-core OGs:	17
PhamClust_114	Median CDS count:	55.0
PhamClust_114	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.44545454545454544
PhamClust_303	Maximum of maximum E-values observed for any OG (log10)	-17.954677021213342
PhamClust_303	Maximum of near-core OG E-values observed (log10):	-17.954677021213342
PhamClust_303	Maximum distance between near-core OGs:	25
PhamClust_303	Median CDS count:	61.0
PhamClust_303	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.431917211328976
PhamClust_438	Maximum of maximum E-values observed for any OG (log10)	-11.896196279044041
PhamClust_438	Maximum of near-core OG E-values observed (log10):	-11.896196279044041
PhamClust_438	Maximum distance between near-core OGs:	4
PhamClust_438	Median CDS count:	84.5
PhamClust_438	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9467787114845938
PhamClust_108	Maximum of maximum E-values observed for any OG (log10)	-6.917214629683549
PhamClust_108	Maximum of near-core OG E-values observed (log10):	-6.917214629683549
PhamClust_108	Maximum distance between near-core OGs:	14
PhamClust_108	Median CDS count:	97
PhamClust_108	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.3979591836734694
PhamClust_166	Maximum of maximum E-values observed for any OG (log10)	-5.186419011431807
PhamClust_166	Maximum of near-core OG E-values observed (log10):	-7.567030709125593
PhamClust_166	Maximum distance between near-core OGs:	4
PhamClust_166	Median CDS count:	20
PhamClust_166	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8
PhamClust_195	Maximum of maximum E-values observed for any OG (log10)	-11.8153085691824
PhamClust_195	Maximum of near-core OG E-values observed (log10):	-40.521433504406154
PhamClust_195	Maximum distance between near-core OGs:	27
PhamClust_195	Median CDS count:	57
PhamClust_195	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.38596491228070173
PhamClust_324	Maximum of maximum E-values observed for any OG (log10)	-30.70996538863748
PhamClust_324	Maximum of near-core OG E-values observed (log10):	-33.311580177997286
PhamClust_324	Maximum distance between near-core OGs:	4
PhamClust_324	Median CDS count:	43.0
