Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
OG_86	True	0.534090909	1812	39	"-"	0.645442376	0.786400591	0.186380872	0.213661494	0.968429806	1.005249344	0.280701754	0	0.299668874	-0.173674589	NA	239	-1.957598475	0.025104603	EF2164 (3.56e-270)	NA	NA	VIMSS356317 (1.00E-265)	NA	NA	NA	NA	NA	Family of unknown function (DUF6056)
OG_87	True	0.999188312	960	46	"-"	1.004797392	0.156118143	0.032009363	0.508153718	0.986613297	1.006071468	0.039513678	0	0.371875	-0.097142857	NA	72	-1.95797842	0.097222222	EF2165 (1.07e-227)	UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45] (2.253523581711372E-97)	UDP-glucose 4-epimerase GalE (1.5356572475998875E-54)	WP_002356922.1; WP_002383748.1 (4.54E-223)	NA	NA	BGC0001947|c1|6292-7332|+|AWL83831.1|Gne2|AWL83831.1 (8.77E-55)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (2.1781669062758183E-85)	VFG047147(gb|WP_003027881) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. mediasiatica FSC147]; VFG047144(gb|WP_010030803) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. holarctica FTNF002-00]; VFG047149(gb|WP_003029668) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. tularensis SCHU S4] (1.07E-60)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein; RmlD substrate binding domain
OG_88	True	0.416396104	1422	57	"-"	1.878083701	0.073995772	0.020157468	0.268489643	0.997258138	1.007142857	0	0	0.313642757	-0.219730942	NA	45	-3.507325422	0	EF2166 (0.0)	NA	NA	Q832Q4 (0.0)	NA	NA	NA	NA	VFG016373(gb|WP_001108298) (BC_RS26255) oligosaccharide flippase family protein [Polysaccharide capsule (VF0659) - Immune modulation (VFC0258)] [Bacillus cereus ATCC 14579] (1.11E-113)	NA
OG_89	True	0.326298701	972	59	"-"	3.224735333	0.079463364	0.02688492	0.01206942	0.99042982	1.005968178	0	0	0.308641975	-0.22	NA	24	-2.455365376	0.083333333	EF2167 (1.15e-235)	rhamnosyltransferase (3.7977905346816655E-28)	poly-beta-1,6-N-acetyl-D-glucosamine synthase (1.925019329526553E-8)	VIMSS356320 (3.23E-231)	NA	NA	BGC0000796|c1|21678-22622|+|ADG29298.1|putative_rhamnosyltransferase|ADG29298.1 (9.35E-13)	REFSEQ glycosyl transferase family 2[Xu] (9.296487167890512E-16)	VFG006055(gb|WP_002902064) (SSA_RS10860) glycosyltransferase family 2 protein [Capsule (VF0144) - Immune modulation (VFC0258)] [Streptococcus sanguinis SK36] (2.55E-22)	Glycosyl transferase family 2
OG_90	True	0.439935065	825	61	"-"	3.098928969	0.590024331	0.207661853	0.374734667	0.956334783	1.004878049	0.028368794	0	0.312727273	-0.155466148	NA	81	-2.98542865	0.037037037	EF2168 (9.15e-181)	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-] (2.0374278382484374E-70)	diacylglycerol cholinephosphotransferase Mf1 (1.66071958642115E-26)	VIMSS356321 (2.58E-176)	NA	NA	BGC0001894|c1|22789-23592|+|CEB41_05215|lipopolysaccharide_cholinephosphotransferase|AXH03910.1 (3.91E-14)	REFSEQ bifunctional phosphorylcholine metabolism protein licd and glycosyltransferase domain[Xu] (1.0134053776889218E-8)	VFG013464(gb|WP_011609611) (licD) phosphocholine transferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus somnus 129PT] (8.33E-42)	LicD family
OG_92	True	0.943181818	1416	63	"-"	7.497275896	0.810690423	0.451926859	0.529648451	0.362350824	1.005461489	0.096579477	0	0.294491525	-0.171624714	NA	222	-1.935283452	0.004504505	EF2169 (2.34e-112)	O-antigen ligase [EC:2.4.99.26] (1.776654369014718E-39)	oligosaccharide repeat unit polymerase (1.1036609967878222E-11)	WP_002391475.1 (8.83E-124)	NA	NA	NA	NA	NA	O-Antigen ligase
OG_93	True	0.996753247	981	87	"-"	5.780884423	0.789583333	0.372331297	0.367204747	0.530260286	1.006383094	0.047619048	0	0.306666667	-0.224489796	NA	167	-2.67030296	0	EF2170|epaX (1.81e-154)	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-] (9.028772436889773E-80)	glycosyltransferase (1.2280210329838205E-38)	VIMSS356323 (5.11E-150)	NA	NA	BGC0000740|c1|3726-4700|+|AAL57057.1|CpsIaI|AAL57057.1; BGC0000747|c1|3726-4700|+|AAL56386.1|CpsI|AAL56386.1; BGC0000741|c1|3612-4580|+|AAL57076.1|CpsI|AAL57076.1; BGC0000745|c1|3612-4580|+|AAL56372.1|CpsI|AAL56372.1; BGC0000746|c1|3726-4700|+|AAL56379.1|CpsI|AAL56379.1; BGC0000748|c1|3726-4700|+|AAL56393.1|CpsI|AAL56393.1; BGC0000744|c1|3612-4580|+|AAL56365.1|CpsI|AAL56365.1 (5.57E-44)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (2.4600206230453745E-42)	VFG046740(gb|WP_013922877) (F7308_RS05565) glycosyltransferase family 2 protein [Capsule (VF0543) - Immune modulation (VFC0258)] [Francisella sp. TX077308] (6.52E-49)	Glycosyl transferase family 2; Glycosyltransferase like family 2; Glycosyltransferase like family 2
OG_94	True	0.767857143	1059	100	"-"	1.985143523	0.408787011	0.113958355	0.093631957	0.997159091	1.00530037	0.025139665	0	0.364494806	-0.14507772	NA	75	-2.535204028	0.066666667	EF2171 (5.59e-253)	UDP-glucuronate decarboxylase [EC:4.1.1.35] (6.689833402333095E-65)	dTDP-glucose 4,6-dehydratase (1.8074694641322246E-32)	WP_002378507.1 (3.87E-249)	NA	NA	BGC0000238|c1|49875-50855|-|ABX71131.1|Lct48|ABX71131.1; BGC0001438|c1|18997-19995|-|B9W61_07245|dTDP-glucose_4,6-dehydratase|OWA25237.1 (8.33E-21)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (7.440579707032996E-43)	VFG013369(gb|WP_011272256) (rffG) dTDP-glucose 46-dehydratase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae 86-028NP] (6.21E-27)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein
OG_95	True	0.768668831	705	102	"-"	0.169081248	0.123032904	0.021706861	0.044721356	0.999314804	1.009132326	0.004273504	0	0.344680851	-0.118367347	NA	23	-2.812446918	0	EF2172 (5.91e-173)	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40] (4.426942284631529E-67)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (9.785972569415415E-46)	VIMSS356325 (1.67E-168)	NA	NA	BGC0000806|c1|48922-49656|+|AHL24486.1|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase|AHL24486.1 (8.63E-21)	sp|Q5UNV4|UNAP_MIMIV Probable UDP-N-acetylglucosamine pyrophosphorylase[Xh] (7.339337409197797E-7)	VFG000688(gb|AAP42181) (bcs1') Bcs1' [Capsule (VF0043) - Immune modulation (VFC0258)] [Haemophilus influenzae str. 1007] (1.86E-21)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MobA-like NTP transferase domain
OG_97	True	0.732954545	2682	125	"-"	0.858831815	0.687311178	0.127801136	0.124122973	0.843137255	1.005813953	0.707492149	0.01510574	0.357568978	-0.130072841	NA	324	-2.005979194	0.009259259	EF2174|OG1RF_0163 (0.0)	lysozyme (4.266741861402802E-34)	NA	VIMSS356327 (0.0)	NA	NA	NA	sp|Q37976|AEPE_BPA18 L-alanyl-D-glutamate peptidase[Xh] (1.3740493092686209E-36)	VFG000690(gb|AAP42183) (AAP42183) Bcs3' [Capsule (VF0043) - Immune modulation (VFC0258)] [Haemophilus influenzae str. 1007] (0.00000592)	Domain of unknown function (DUF5776); Glycosyl hydrolases family 25
