OG_1	OG_002043	EF2164
OG_2	OG_002044	EF2165
OG_3	OG_002053	EF2174
OG_4	OG_002055	EF2176
OG_5	OG_002056	EF2177|epaR
OG_6	OG_002057	EF2178|epaQ
OG_7	OG_002058	EF2179|epaP
OG_8	OG_002059	EF2180|epaO
OG_9	OG_002060	EF2181|epaN
OG_10	OG_002061	EF2182|epaM
OG_11	OG_002062	EF2183|epaL
OG_12	OG_002045	EF2166
OG_13	OG_002063	EF2184|epaK
OG_14	OG_002068	EF2189|epaJ
OG_15	OG_002069	EF2190|epaI
OG_16	OG_002070	EF2191|epaH
OG_17	OG_002071	EF2192|epaG
OG_18	OG_002072	EF2193|epaF
OG_19	OG_002073	EF2194|epaE
OG_20	OG_002046	EF2167
OG_21	OG_002074	EF2195|epaD
OG_22	OG_002075	EF2196|epaC
OG_23	OG_002076	EF2197|epaB
OG_24	OG_002077	EF2198|epaA
OG_25	OG_002078	EF2199
OG_26	OG_002079	EF2200
OG_27	OG_002047	EF2168
OG_28	OG_002048	EF2169
OG_29	OG_002049	EF2170|epaX
OG_30	OG_002050	EF2171
OG_31	OG_002051	EF2172
OG_32	OG_002052	EF2173
