Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t25_fai-gene-cluster-1
OG0000000	AAB_000124	AAG_000158
OG0000001	AAB_000117, AAB_000129	AAG_000167
OG0000002	AAB_000118	AAG_000149, AAG_000150
OG0000003	AAB_000123	AAG_000155
OG0000004	AAB_000108	AAG_000132
OG0000005	AAB_000126	AAG_000163
OG0000006	AAB_000113	AAG_000142
OG0000007	AAB_000122	AAG_000154
OG0000008	AAB_000121	AAG_000153
OG0000009	AAB_000135	AAG_000172, AAG_000173
OG0000010	AAB_000110	AAG_000136
OG0000011	AAB_000111	AAG_000137
OG0000012	AAB_000143	AAG_000181, AAG_000182, AAG_000183
OG0000013	AAB_000114	AAG_000143
OG0000014	AAB_000140	AAG_000178
OG0000015	AAB_000119	AAG_000151
OG0000016	AAB_000131	AAG_000169
OG0000017	AAB_000136	AAG_000174
OG0000018	AAB_000112	AAG_000139
OG0000019	AAB_000144	AAG_000184
OG0000020	AAB_000115	AAG_000144
OG0000021	AAB_000134	AAG_000171
OG0000022	AAB_000107	AAG_000131
OG0000023	AAB_000116	AAG_000145
OG0000024	AAB_000138	AAG_000176
OG0000025	AAB_000139	AAG_000177
OG0000026	AAB_000142	AAG_000180
OG0000027	AAB_000120	AAG_000152
OG0000028	AAB_000137	AAG_000175
OG0000029	AAB_000141	AAG_000179
OG0000030	AAB_000109	AAG_000134
OG0000032	AAB_000145	AAG_000185
OG0000033	AAB_000128	AAG_000166
OG0000034	AAB_000127	AAG_000164, AAG_000165
OG0000036	AAB_000130	AAG_000168
