Accession	Name	Cluster	Subcluster	PEQtoCluRepr	Grose_Casjens_Cluster	Gros_Casjens_Subcluster
NC_019725.1	Escherichia phage ADB-2, complete genome	6	3	0.355301	Lytic1	Lytic1A
NC_015456.1	Shigella phage Shfl1, complete genome	6	3	0.428533999999999	Lytic1	Lytic1A
NC_005833.1	Escherichia phage T1, complete genome	6	3	0.412572999999999	Lytic1	Lytic1A
NC_047740.1	Enterobacteria phage phiJLA23, complete genome	6	4	0.381252	Lytic1	Lytic1B
NC_019718.1	Enterobacteria phage vB EcoS Rogue1, complete genome	6	4	0.379920999999999	Lytic1	Lytic1B
NC_042038.1	Enterobacteriophage phiKP26, complete genome	6	4	0.367504	Lytic1	Lytic1B
NC_023743.1	Escherichia phage phiEB49, complete genome	6	4	0.372015	Lytic1	Lytic1B
NC_007603.1	Enterobacteria phage RTP, complete genome	6	6	0.376264999999999	Lytic1	Lytic1C
NC_019404.1	Enterobacteria phage vB EcoS ACG-M12, complete genome	6	6	0.380522	Lytic1	Lytic1C
NC_029099.1	Klebsiella phage KP36, complete genome	6	1	0.771463	Lytic1	Lytic1D
NC_009540.1	Enterobacteria phage TLS, complete genome	6	5	0.410053	Lytic1	Lytic1E
NC_019509.1	Cronobacter phage ESP2949-1, complete genome	6	8	0.418556999999999	Lytic1	Lytic1F
NC_021331.1	Shigella phage pSf-1, complete genome	6	2	0.391493	Lytic1	Lytic1G
NC_020078.1	Cronobacter sakazakii phage vB CskP GAP227, complete genome	37	5	0.396406	Lytic10	Lytic10A
NC_019423.1	Enterobacter phage IME11, complete genome	15	1	0.777908	Lytic11	Lytic11A
NC_015933.1	Escherichia phage vB EcoP G7C, complete genome	15	1	0.754381	Lytic11	Lytic11A
NC_008720.1	Enterobacteria phage N4, complete genome	15	15	0.51155	Lytic11	Lytic11A
NC_019485.1	Enterobacter phage EcP1, complete genome	113	2	0.273655	Lytic11	Lytic11C
NC_025443.1	Salmonella phage 9NA, complete genome	162	N/A	1	Lytic12	Lytic12A
NC_025442.1	Salmonella phage Chi, complete genome	38	1	1	Lytic13	Lytic13A
NC_018832.1	Providencia phage Redjac, complete genome	38	4	0.523806	Lytic13	Lytic13C
NC_010324.1	Escherichia phage phiEco32, complete genome	100	1	0.869742	Lytic14	Lytic14A
NC_005282.1	Enterobacteria phage Felix 01, complete genome	96	1	0.884913	Lytic15	Lytic15A
NC_009232.2	Salmonella phage SETP3, complete genome	5	1	0.640262	Lytic16	Lytic16A
NC_013600.1	Sodalis phage SO-1, complete genome	65	1	0.76277	Lytic17	Lytic17A
NC_027995.1	Escherichia phage vB EcoM ECO1230-10, complete genome	49	2	0.272097	Lytic18	Lytic18A
NC_010106.1	Enterobacteria phage phiEcoM-GJ1, complete genome	46	1	0.84227	Lytic19	Lytic19A
NC_000866.4	Enterobacteria phage T4, complete genome	8	1	0.853394	Lytic2	Lytic2A
NC_012635.1	Enterobacteria phage RB51, complete genome	8	1	0.905202	Lytic2	Lytic2A
NC_024125.2	Escherichia phage e11 2, complete genome	8	1	0.840206	Lytic2	Lytic2A
NC_025449.1	Escherichia phage ECML-134, complete genome	8	1	0.880992	Lytic2	Lytic2A
NC_012638.1	Escherichia phage RB14, complete genome	8	1	0.899975	Lytic2	Lytic2A
NC_008515.1	Escherichia phage RB32, complete genome	8	1	0.880794	Lytic2	Lytic2A
NC_015457.1	Shigella phage Shfl2, complete genome	8	1	0.915174	Lytic2	Lytic2A
NC_004928.1	Enterobacteria phage RB69, complete genome	8	1	0.587486	Lytic2	Lytic2B
NC_024124.2	Escherichia phage vB EcoM JS09, complete genome	8	1	0.617611	Lytic2	Lytic2B
NC_014260.1	Enterobacteria phage IME08, complete genome	8	2	0.491919	Lytic2	Lytic2C
NC_005066.1	Enterobacteria phage RB49, complete genome	8	5	0.283448999999999	Lytic2	Lytic2H
NC_021344.2	Escherichia phage Lw1, complete genome	171	1	0.85516	Lytic2	Lytic2I
NC_007023.1	Escherichia phage RB43, complete genome	171	1	0.841085	Lytic2	Lytic2I
NC_023693.1	Enterobacteria phage phi92, complete genome	232	2	0.492487	Lytic21	Lytic21A
NC_022323.1	Escherichia phage 2 JES-2013, complete genome	233	1	0.928879	Lytic22	
NC_027402.1	Salmonella phage SPN3US, complete genome	60	6	0.457233	Lytic23	Lytic23A
NC_021531.1	Cronobacter phage CR5, complete genome	60	1	0.336354	Lytic23	Lytic23C
NC_019526.1	Enterobacteria phage vB KleM-RaK2, complete genome	88	2	0.269344999999999	Lytic24	Lytic24A
NC_016163.1	Yersinia phage phiR1-37, complete genome	Singleton	N/A	N/A	Lytic25	Lytic25A
NC_010495.1	Salmonella phage E1, complete genome	10	2	0.582357	Lytic26	Lytic26A
NC_025441.1	Escherichia phage ECML-117, complete genome	133	1	1	Lytic27	Lytic27A
NC_019420.1	Edwardsiella phage KF-1 DNA, complete genome	213	N/A	1	Lytic28	Lytic28A
NC_021342.2	Edwardsiella phage PEi21, complete genome	18	2	0.31109	Lytic29	Lytic29A
NC_020082.1	Edwardsiella phage MSW-3 DNA, complete genome	18	2	0.276945	Lytic29	Lytic29A
NC_015296.1	Salmonella phage Vi01, complete genome	25	1	0.826638	Lytic3	Lytic3A
NC_023557.1	Erwinia phage Ea35-70, complete genome	356	1	0.966984	Lytic30	Lytic30A
NC_023610.1	Erwinia phage PhiEaH1, complete genome	Singleton	N/A	N/A	Lytic31	Lytic31A
NC_024146.1	Enterobacteria phage 9g, complete genome	132	1	0.877881	Lytic32	Lytic32A
NC_017969.1	Escherichia phage vB EcoS AKFV33, complete genome	20	1	0.742149	Lytic4	Lytic4A
NC_005859.1	Enterobacteria phage T5, complete genome	20	1	0.680447999999999	Lytic4	Lytic4A
NC_001604.1	Enterobacteria phage T7, complete genome	2	1	0.572093	Lytic5	Lytic5A
NC_011040.1	Enterobacteria phage BA14, complete genome	2	1	0.533126	Lytic5	Lytic5C
NC_022744.1	Erwinia phage FE44, complete genome	2	1	0.543204999999999	Lytic5	Lytic5C
NC_008694.1	Yersinia phage Berlin, complete genome	2	1	0.544173999999999	Lytic5	Lytic5C
NC_011038.1	Yersinia phage Yepe2, complete genome	2	1	0.547956	Lytic5	Lytic5C
NC_011042.1	Enterobacteria phage EcoDS1, complete genome	2	2	0.428506	Lytic5	Lytic5H
NC_019403.1	Enterobacteria phage vB EcoP ACG-C91, complete genome	41	1	0.863158	Lytic6	Lytic6A
NC_004831.2	Enterobacteria phage SP6, complete genome	41	1	0.605210999999999	Lytic6	Lytic6A
NC_013649.2	Klebsiella phage KP34, complete genome	30	1	0.789311	Lytic7	Lytic7A
NC_012662.1	Vibrio phage VP93, complete genome	30	2	0.328105	Lytic7	Lytic7x
NC_015585.1	Pantoea phage LIMEzero, complete genome	212	N/A	0.472164999999999	Lytic8	Lytic8
NC_019520.1	Escherichia phage phiKT, complete genome	399	N/A	1	Lytic9	Lytic9
NC_001416.1	Enterobacteria phage lambda, complete genome	69	1	1	Temperate1	Temperate1A
NC_011551.1	Bacteriophage APSE-2, complete genome	383	N/A	1	Temperate10	Temperate10A
NC_000935.1	Acyrthosiphon pisum bacteriophage APSE-1, complete genome	383	N/A	0.787233	Temperate10	Temperate10A
NC_008464.1	Stx2-converting phage 86, complete genome	31	1	0.691958	Temperate11	Temperate11A
NC_000924.1	Enterobacteria phage 933W, complete genome	31	1	0.719997	Temperate11	Temperate11A
NC_016158.1	Escherichia phage HK639, complete genome	Singleton	N/A	N/A	Temperate12	Temperate12A
NC_018454.1	Cronobacter phage phiES15, complete genome	Singleton	N/A	N/A	Temperate13	Temperate13A
NC_019927.1	Cronobacter phage ENT47670, complete genome	Singleton	N/A	N/A	Temperate15	Temperate15A
NC_019522.1	Pectobacterium phage ZF40, complete genome	Singleton	N/A	N/A	Temperate16	Temperate16A
NC_015295.1	Erwinia phage phiEt88, complete genome	Singleton	N/A	N/A	Temperate17	Temperate17A
NC_004775.2	Enterobacteria phage epsilon15, complete genome	123	N/A	0.421717	Temperate18	Temperate18A
NC_005856.1	Enterobacteria phage P1, complete genome	142	N/A	1	Temperate19	Temperate19A
NC_021190.1	Enterobacteria phage phi80, complete genome	69	4	0.266545	Temperate2	Temperate2A
NC_001895.1	Enterobacteria phage P2, complete genome	14	1	0.792801	Temperate20	Temperate20A
NC_005340.1	Enterobacteria phage PsP3, complete genome	14	1	0.533922	Temperate20	Temperate20B
NC_010463.1	Enterobacteria phage Fels-2, complete genome	14	2	0.299791999999999	Temperate20	Temperate20C
NC_052968.1	Synechococcus virus S-ESS1, complete genome	Singleton	N/A	N/A	Temperate21	Temperate21A
NC_000929.1	Enterobacteria phage Mu, complete genome	370	N/A	1	Temperate22	Temperate22A
NC_018843.1	Salmonella phage SSU5, complete genome	Singleton	N/A	N/A	Temperate23	Temperate23A
NC_016767.1	Erwinia phage PEp14, complete genome	126	N/A	0.336097	Temperate24	Temperate24A
NC_001901.1	Bacteriophage N15, complete genome	69	3	0.238129999999999	Temperate3	Temperate3A
NC_002167.1	Enterobacteria phage HK97, complete genome	27	1	0.637154	Temperate4	Temperate4A
NC_006949.1	Enterobacteria phage ES18, complete genome	207	N/A	0.445401999999999	Temperate5	Temperate5A
NC_004813.1	Enterobacteria phage BP-4795, complete genome	183	N/A	0.541995	Temperate7	Temperate7A
NC_003444.1	Enterobacteria phage SfV, complete genome	72	1	0.635058	Temperate8	Temperate8A
NC_021857.1	Shigella phage SfII, complete genome	72	1	1	Temperate8	Temperate8A
NC_011802.1	Salmonella enterica bacteriophage SE1, complete genome	42	1	0.702792	Temperate9	Temperate9A
NC_013059.1	Salmonella phage c341, complete genome	42	2	0.447791	Temperate9	Temperate9A
NC_014900.1	Salmonella phage ST160, complete genome	42	1	0.640069999999999	Temperate9	Temperate9A
NC_002371.2	Salmonella phage P22, complete genome	42	1	0.645817	Temperate9	Temperate9A
NC_020201.1	Pectobacterium phage phiTE, complete genome	177	N/A	0.516969999999999		
NC_019528.1	Aeromonas phage phiAS7, complete genome	37	1	0.744047		
NC_011201.1	Ralstonia phage RSB1, complete genome	90	1	0.339511		
NC_021316.1	Acinetobacter phage Abp1, complete genome	95	1	0.840984		
NC_022982.1	Xylella phage Paz, complete genome	139	2	0.292525		
NC_022987.1	Xylella phage Prado, complete genome	139	1	0.622392		
NC_016764.1	Pseudomonas phage Bf7, complete genome	188	N/A	0.772508		
NC_022916.1	Burkholderia phage JG068, complete genome	217	N/A	0.320396		
NC_004665.1	Pseudomonas phage gh-1, complete genome	2	3	0.375291999999999		
NC_021062.1	Pseudomonas phage Phi-S1, complete genome	2	4	0.36143		
NC_015208.1	Pseudomonas phage phi15, complete genome	2	18	0.364383		
NC_015264.1	Pseudomonas phage phiIBB-PF7A, complete genome	2	4	0.351952		
