og	og_order	med_length
OG_81	1	0.339
OG_75	2	0.231
OG_68	3	0.186
OG_25	4	0.675
OG_63	5	0.114
OG_26	6	0.675
OG_66	7	0.495
OG_90	8	0.318
OG_73	9	0.279
OG_37	10	0.702
OG_4	11	0.192
OG_22	12	0.2895
OG_10	13	0.135
OG_47	14	0.726
OG_97	15	0.093
OG_57	16	0.417
OG_12	17	0.15
OG_58	18	0.537
OG_85	19	0.174
OG_59	20	0.726
OG_93	21	0.222
OG_14	22	0.567
OG_1	23	0.279
OG_60	24	0.699
OG_61	25	0.816
OG_20	26	0.183
OG_2	27	0.12
OG_62	28	0.69
OG_86	29	0.21
OG_23	30	0.21
OG_15	31	0.1935
OG_21	32	0.2595
OG_16	33	0.537
OG_98	34	0.168
OG_94	35	0.138
OG_5	36	0.306
OG_28	37	0.759
OG_3	38	0.486
OG_17	39	0.222
OG_76	40	0.549
OG_29	41	0.558
OG_65	42	0.201
OG_30	43	0.597
OG_84	44	0.18
OG_83	45	0.183
OG_18	46	0.213
OG_19	47	0.186
OG_31	48	0.6
OG_100	49	0.15
OG_32	50	0.576
OG_33	51	0.663
OG_6	52	0.438
OG_95	53	0.102
OG_34	54	1.161
OG_88	55	0.252
OG_77	56	0.09
OG_102	57	0.096
OG_72	58	0.1545
OG_78	59	0.18
OG_69	60	0.318
OG_7	61	0.285
OG_35	62	1.4415
OG_8	63	0.285
OG_71	64	0.228
OG_24	65	0.468
OG_9	66	0.231
OG_36	67	0.747
OG_79	68	0.138
OG_80	69	0.3135
OG_99	70	0.174
OG_38	71	0.57
OG_39	72	0.342
OG_27	73	0.9885
OG_40	74	0.252
OG_41	75	0.573
OG_92	76	0.093
OG_89	77	0.156
OG_67	78	0.162
OG_42	79	0.438
OG_96	80	0.264
OG_43	81	0.261
OG_11	82	0.114
OG_44	83	0.654
OG_64	84	0.219
OG_45	85	0.597
OG_46	86	0.6225
OG_48	87	0.573
OG_74	88	0.414
OG_13	89	0.1725
OG_49	90	0.669
OG_50	91	0.636
OG_51	92	0.573
OG_82	93	0.237
OG_52	94	0.783
OG_53	95	1.137
OG_70	96	0.339
OG_101	97	0.213
OG_54	98	0.384
OG_87	99	0.111
OG_55	100	0.483
OG_56	101	0.444
OG_91	102	0.24
