Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)	KO Annotation (E-value)	PGAP Annotation (E-value)	PaperBLAST Annotation (E-value)	CARD Annotation (E-value)	IS Finder (E-value)	MI-BiG Annotation (E-value)	VOG Annotation (E-value)	VFDB Annotation (E-value)	Pfam Domains
OG_36	True	0.527597402597403	1812	33	"-"	0.704084398932846	0.77309682187731	0.185983856257887	0.207871176774808	0.969005161458624	1.00459418070444	0.279552715654952	0	0.299668874172185	-0.173674588665448	NA	195	-1.95423076684778	0.0307692307692308	EF2164 (0.0)	NA	NA	VIMSS356317 (0.0)	NA	NA	NA	NA	NA	Family of unknown function (DUF6056)
OG_56	True	0.999188311688312	960	42	"-"	1.00479739205884	0.156118143459916	0.0320093629835801	0.509329687702471	0.986547285354662	1.00493935036014	0.0395136778115502	0	0.371875	-0.0971428571428571	NA	72	-1.95770785093708	0.0972222222222222	EF2165 (1.07e-227)	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-] (2.381672352048422E-90)	UDP-glucose 4-epimerase GalE (1.4731627056698066E-54)	WP_002356922.1; WP_002383748.1 (4.39E-223)	NA	NA	BGC0001947|c1|6292-7332|+|AWL83831.1|Gne2|AWL83831.1 (8.77E-55)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (6.703859595542771E-78)	VFG047149(gb|WP_003029668) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. tularensis SCHU S4]; VFG047147(gb|WP_003027881) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. mediasiatica FSC147]; VFG047144(gb|WP_010030803) (wbtF) NAD dependent epimerase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella tularensis subsp. holarctica FTNF002-00] (1.07E-60)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein; RmlD substrate binding domain
OG_57	True	0.416396103896104	1422	45	"-"	1.87808370073002	0.0739957716701903	0.0201574684328377	0.275770960213966	0.997257713637896	1.00714285714286	0	0	0.313642756680731	-0.219730941704036	NA	45	-3.50830325999292	0	EF2166 (0.0)	NA	NA	VIMSS356319 (0.0)	NA	NA	NA	NA	VFG016373(gb|WP_001108298) (BC_RS26255) oligosaccharide flippase family protein [Polysaccharide capsule (VF0659) - Immune modulation (VFC0258)] [Bacillus cereus ATCC 14579] (1.11E-113)	NA
OG_58	True	0.326298701298701	972	47	"-"	3.22473533291924	0.0794633642930857	0.0268849198519158	0.0120694198105398	0.990405457101346	1.00596817758277	0	0	0.308641975308642	-0.22	NA	24	-2.45090401346783	0.0833333333333333	EF2167 (1.15e-235)	rhamnosyltransferase (2.0470080758267975E-27)	poly-beta-1,6-N-acetyl-D-glucosamine synthase (1.8466794516707763E-8)	VIMSS356320 (3.12E-231)	NA	NA	BGC0000796|c1|21678-22622|+|ADG29298.1|putative_rhamnosyltransferase|ADG29298.1 (9.35E-13)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (9.332661955891768E-14)	VFG006055(gb|WP_002902064) (SSA_RS10860) glycosyltransferase family 2 protein [Capsule (VF0144) - Immune modulation (VFC0258)] [Streptococcus sanguinis SK36] (2.55E-22)	Glycosyl transferase family 2
OG_59	True	0.435064935064935	825	48	"-"	3.1820966414773	0.58029197080292	0.206918497064466	0.366164869959996	0.957547363241204	1.00486618004866	0.0283687943262411	0	0.312727272727273	-0.158301158301158	NA	79	-3.59450215134007	0.0253164556962025	EF2168 (1.45e-177)	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-] (1.5240031355153432E-70)	NA	VIMSS356321 (3.95E-173)	NA	NA	NA	NA	VFG013464(gb|WP_011609611) (licD) phosphocholine transferase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus somnus 129PT] (8.33E-42)	LicD family
OG_60	True	0.935876623376623	1416	56	"-"	7.54723195722428	0.80920564216778	0.451938622854781	0.5150650115686	0.363384392605833	1.00546148894543	0.102	0	0.294491525423729	-0.17162471395881	NA	209	-2.06217196717368	0.00478468899521531	EF2169 (1.14e-109)	O-antigen ligase [EC:2.4.99.26] (2.9408980920774926E-38)	oligosaccharide repeat unit polymerase (3.602085030437623E-10)	WP_002391475.1 (1.50E-121)	NA	NA	NA	NA	NA	O-antigen ligase like membrane protein; O-Antigen ligase
OG_61	True	0.99512987012987	981	66	"-"	5.84090939632775	0.785416666666667	0.372699475029185	0.384479617727969	0.531094257854821	1.00635593220339	0.0504451038575668	0	0.306666666666667	-0.224489795918367	NA	168	-2.82861256138409	0	EF2170|epaX (3.85e-156)	teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-] (8.449607465595981E-113)	glycosyltransferase (8.743275937273943E-39)	Q832Q0 (1.05E-151)	NA	NA	BGC0000744|c1|3612-4580|+|AAL56365.1|CpsI|AAL56365.1; BGC0000745|c1|3612-4580|+|AAL56372.1|CpsI|AAL56372.1; BGC0000741|c1|3612-4580|+|AAL57076.1|CpsI|AAL57076.1 (1.92E-44)	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP[Xh] (2.089725258778059E-37)	VFG046740(gb|WP_013922877) (F7308_RS05565) glycosyltransferase family 2 protein [Capsule (VF0543) - Immune modulation (VFC0258)] [Francisella sp. TX077308] (3.29E-49)	Glycosyl transferase family 2; Glycosyltransferase like family 2; Glycosyltransferase like family 2
OG_63	True	0.767045454545455	1059	71	"-"	1.98658340736243	0.408787010506208	0.113988284308918	0.09363195673675	0.996933121727182	1.00524290294136	0.0251396648044693	0	0.364494806421152	-0.145077720207254	NA	74	-2.56997399222117	0.0675675675675676	EF2171 (5.59e-253)	UDP-glucuronate decarboxylase [EC:4.1.1.35] (7.023928070903638E-67)	dTDP-glucose 4,6-dehydratase (1.7339133523174982E-32)	WP_002378507.1 (3.75E-249)	NA	NA	BGC0000238|c1|49875-50855|-|ABX71131.1|Lct48|ABX71131.1; BGC0001438|c1|18997-19995|-|B9W61_07245|dTDP-glucose_4,6-dehydratase|OWA25237.1 (8.33E-21)	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7[Xh] (4.187742747248337E-39)	VFG013369(gb|WP_011272256) (rffG) dTDP-glucose 46-dehydratase [LOS (VF0044) - Immune modulation (VFC0258)] [Haemophilus influenzae 86-028NP] (6.20E-27)	3-beta hydroxysteroid dehydrogenase/isomerase family; NAD dependent epimerase/dehydratase family; GDP-mannose 4,6 dehydratase; Male sterility protein; Polysaccharide biosynthesis protein
OG_64	True	0.768668831168831	705	72	"-"	0.169081247839467	0.123032904148784	0.0217068608440257	0.042832939801223	0.999309400562996	1.00869565217391	0.00427350427350427	0	0.34468085106383	-0.118367346938775	NA	23	-2.81363799595298	0	EF2172 (5.91e-173)	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40] (1.727718356398158E-67)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (9.387726232857052E-46)	VIMSS356325 (1.61E-168)	NA	NA	BGC0000806|c1|48922-49656|+|AHL24486.1|2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase|AHL24486.1 (8.63E-21)	sp|P55257|RMLA_YEREN Glucose-1-phosphate thymidylyltransferase[Xh] (2.5066354813694508E-11)	VFG000688(gb|AAP42181) (bcs1') Bcs1' [Capsule (VF0043) - Immune modulation (VFC0258)] [Haemophilus influenzae str. 1007] (1.86E-21)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase; MobA-like NTP transferase domain
OG_65	True	0.664772727272727	2682	80	"-"	0.358092369903703	0.679601990049751	0.128458780924127	0.0982834601234626	0.977001289355456	1.0036231884058	0.427350427350427	0	0.357941834451902	-0.130072840790843	NA	329	-2.30489183324139	0.0243161094224924	EF2174|OG1RF_0163 (0.0)	lysozyme (4.6958692512974935E-36)	Asp-tRNA(Asn) amidotransferase subunit GatC (0.000008376551376237452)	VIMSS356327 (0.0)	NA	NA	NA	REFSEQ endolysin[Xu] (2.8049698185417577E-14)	NA	Domain of unknown function (DUF5776); Glycosyl hydrolases family 25
