Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	t28_fai-gene-cluster-1_AAF_000147, t7_fai-gene-cluster-1_AAC_000162, t13_fai-gene-cluster-1_AAT_000166, t25_fai-gene-cluster-1_AAG_000160, t27_fai-gene-cluster-1_AAP_000191, t21_fai-gene-cluster-1_AAS_000186, t29_fai-gene-cluster-1_ABE_000194, t5_fai-gene-cluster-1_AAW_000189, t19_fai-gene-cluster-1_AAR_000203, t4_fai-gene-cluster-1_ABD_000222, t26_fai-gene-cluster-1_AAM_000209, t16_fai-gene-cluster-1_ABA_000193, t4_fai-gene-cluster-1_ABD_000223, t10_fai-gene-cluster-1_ABB_000173, t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158	t4_fai-gene-cluster-1_ABD_000221, t14_fai-gene-cluster-1_AAD_000207, t8_fai-gene-cluster-1_AAE_000218, t17_fai-gene-cluster-1_AAO_000221, t7_fai-gene-cluster-1_AAC_000161, t5_fai-gene-cluster-1_AAW_000186, t22_fai-gene-cluster-1_AAU_000193, t3_fai-gene-cluster-1_AAK_000184, t29_fai-gene-cluster-1_ABE_000193, t4_fai-gene-cluster-1_ABD_000218, t21_fai-gene-cluster-1_AAS_000184, t19_fai-gene-cluster-1_AAR_000200, t10_fai-gene-cluster-1_ABB_000170, t27_fai-gene-cluster-1_AAP_000187, t16_fai-gene-cluster-1_ABA_000190, t17_fai-gene-cluster-1_AAO_000218, t8_fai-gene-cluster-1_AAE_000216, t14_fai-gene-cluster-1_AAD_000206, t4_fai-gene-cluster-1_ABD_000217, t24_fai-gene-cluster-1_AAH_000151, t25_fai-gene-cluster-1_AAG_000158, t7_fai-gene-cluster-1_AAC_000160, t13_fai-gene-cluster-1_AAT_000164, t1_fai-gene-cluster-1_AAI_000140, t16_fai-gene-cluster-1_ABA_000191, t27_fai-gene-cluster-1_AAP_000188, t10_fai-gene-cluster-1_ABB_000171, t5_fai-gene-cluster-1_AAW_000187, t12_fai-gene-cluster-1_AAA_000147, t15_fai-gene-cluster-1_AAQ_000191, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000124, t23_fai-gene-cluster-1_ABC_000136, t20_fai-gene-cluster-1_AAN_000141, t18_fai-gene-cluster-1_AAY_000157, t11_fai-gene-cluster-1_AAV_000162, t28_fai-gene-cluster-1_AAF_000146, t9_fai-gene-cluster-1_AAZ_000153, t30_fai-gene-cluster-1_AAL_000156, t2_fai-gene-cluster-1_AAJ_000176, t6_fai-gene-cluster-1_AAX_000158, t26_fai-gene-cluster-1_AAM_000207, t27_fai-gene-cluster-1_AAP_000189, t8_fai-gene-cluster-1_AAE_000219, t17_fai-gene-cluster-1_AAO_000222, t13_fai-gene-cluster-1_AAT_000165, t25_fai-gene-cluster-1_AAG_000159, t19_fai-gene-cluster-1_AAR_000201, t10_fai-gene-cluster-1_ABB_000172, t21_fai-gene-cluster-1_AAS_000185, t16_fai-gene-cluster-1_ABA_000192, t4_fai-gene-cluster-1_ABD_000219, t26_fai-gene-cluster-1_AAM_000208, t17_fai-gene-cluster-1_AAO_000223, t8_fai-gene-cluster-1_AAE_000220, t14_fai-gene-cluster-1_AAD_000208, t12_fai-gene-cluster-1_AAA_000148, t15_fai-gene-cluster-1_AAQ_000192, t17_fai-gene-cluster-1_AAO_000224, t8_fai-gene-cluster-1_AAE_000221, t14_fai-gene-cluster-1_AAD_000209, t19_fai-gene-cluster-1_AAR_000202, t27_fai-gene-cluster-1_AAP_000190, t1_fai-gene-cluster-1_AAI_000141, t5_fai-gene-cluster-1_AAW_000188, t24_fai-gene-cluster-1_AAH_000152, t4_fai-gene-cluster-1_ABD_000220, t8_fai-gene-cluster-1_AAE_000225, t17_fai-gene-cluster-1_AAO_000228, t19_fai-gene-cluster-1_AAR_000206, t27_fai-gene-cluster-1_AAP_000192, t16_fai-gene-cluster-1_ABA_000195, t17_fai-gene-cluster-1_AAO_000219, t8_fai-gene-cluster-1_AAE_000217, t18_fai-gene-cluster-1_AAY_000159, t10_fai-gene-cluster-1_ABB_000175, t2_fai-gene-cluster-1_AAJ_000178, t6_fai-gene-cluster-1_AAX_000161, t3_fai-gene-cluster-1_AAK_000188, t19_fai-gene-cluster-1_AAR_000208, t17_fai-gene-cluster-1_AAO_000230, t8_fai-gene-cluster-1_AAE_000227, t14_fai-gene-cluster-1_AAD_000214, t6_fai-gene-cluster-1_AAX_000160, t20_fai-gene-cluster-1_AAN_000145, t15_fai-gene-cluster-1_AAQ_000195, t3_fai-gene-cluster-1_AAK_000187, t25_fai-gene-cluster-1_AAG_000162, t23_fai-gene-cluster-1_ABC_000138, t14_fai-gene-cluster-1_AAD_000213, t17_fai-gene-cluster-1_AAO_000229, t8_fai-gene-cluster-1_AAE_000226, t3_fai-gene-cluster-1_AAK_000186, t19_fai-gene-cluster-1_AAR_000207, t20_fai-gene-cluster-1_AAN_000144, t21_fai-gene-cluster-1_AAS_000187, t7_fai-gene-cluster-1_AAC_000163, t13_fai-gene-cluster-1_AAT_000167, t1_fai-gene-cluster-1_AAI_000144, t21_fai-gene-cluster-1_AAS_000188, t24_fai-gene-cluster-1_AAH_000155, t9_fai-gene-cluster-1_AAZ_000155, t28_fai-gene-cluster-1_AAF_000149
OG0000000	N0	n1	0.06451612903225806	Non-Terminal	t28_fai-gene-cluster-1_AAF_000147, t7_fai-gene-cluster-1_AAC_000162, t13_fai-gene-cluster-1_AAT_000166, t25_fai-gene-cluster-1_AAG_000160	t27_fai-gene-cluster-1_AAP_000191, t21_fai-gene-cluster-1_AAS_000186, t29_fai-gene-cluster-1_ABE_000194, t5_fai-gene-cluster-1_AAW_000189, t19_fai-gene-cluster-1_AAR_000203, t4_fai-gene-cluster-1_ABD_000222, t26_fai-gene-cluster-1_AAM_000209, t16_fai-gene-cluster-1_ABA_000193, t4_fai-gene-cluster-1_ABD_000223, t10_fai-gene-cluster-1_ABB_000173, t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n9	0.03225806451612903	Non-Terminal	t19_fai-gene-cluster-1_AAR_000203	t4_fai-gene-cluster-1_ABD_000222, t26_fai-gene-cluster-1_AAM_000209, t16_fai-gene-cluster-1_ABA_000193, t4_fai-gene-cluster-1_ABD_000223, t10_fai-gene-cluster-1_ABB_000173, t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n10	0.06451612903225806	Non-Terminal	t4_fai-gene-cluster-1_ABD_000222, t26_fai-gene-cluster-1_AAM_000209	t16_fai-gene-cluster-1_ABA_000193, t4_fai-gene-cluster-1_ABD_000223, t10_fai-gene-cluster-1_ABB_000173, t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n12	0.06451612903225806	Non-Terminal	t16_fai-gene-cluster-1_ABA_000193, t4_fai-gene-cluster-1_ABD_000223	t10_fai-gene-cluster-1_ABB_000173, t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n14	0.03225806451612903	Non-Terminal	t10_fai-gene-cluster-1_ABB_000173	t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225, t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n15	0.06451612903225806	Non-Terminal	t14_fai-gene-cluster-1_AAD_000210, t17_fai-gene-cluster-1_AAO_000225	t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153, t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n17	0.0967741935483871	Non-Terminal	t23_fai-gene-cluster-1_ABC_000137, t20_fai-gene-cluster-1_AAN_000142, t1_fai-gene-cluster-1_AAI_000142, t24_fai-gene-cluster-1_AAH_000153	t22_fai-gene-cluster-1_AAU_000194, t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n21	0.03225806451612903	Non-Terminal	t22_fai-gene-cluster-1_AAU_000194	t3_fai-gene-cluster-1_AAK_000185, t15_fai-gene-cluster-1_AAQ_000193, t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
OG0000000	N0	n23	0.03225806451612903	Non-Terminal	t15_fai-gene-cluster-1_AAQ_000193	t19_fai-gene-cluster-1_AAR_000204, t25_fai-gene-cluster-1_AAG_000161, t8_fai-gene-cluster-1_AAE_000222, t4_fai-gene-cluster-1_ABD_000224, t26_fai-gene-cluster-1_AAM_000210, Ref_Epa_from_V583_fai-gene-cluster-1_AAB_000125, t30_fai-gene-cluster-1_AAL_000157, t11_fai-gene-cluster-1_AAV_000163, t12_fai-gene-cluster-1_AAA_000149, t2_fai-gene-cluster-1_AAJ_000177, t26_fai-gene-cluster-1_AAM_000211, t4_fai-gene-cluster-1_ABD_000225, t22_fai-gene-cluster-1_AAU_000195, t1_fai-gene-cluster-1_AAI_000143, t20_fai-gene-cluster-1_AAN_000143, t14_fai-gene-cluster-1_AAD_000212, t19_fai-gene-cluster-1_AAR_000205, t8_fai-gene-cluster-1_AAE_000224, t17_fai-gene-cluster-1_AAO_000227, t15_fai-gene-cluster-1_AAQ_000194, t10_fai-gene-cluster-1_ABB_000174, t24_fai-gene-cluster-1_AAH_000154, t16_fai-gene-cluster-1_ABA_000194, t8_fai-gene-cluster-1_AAE_000223, t17_fai-gene-cluster-1_AAO_000226, t14_fai-gene-cluster-1_AAD_000211, t9_fai-gene-cluster-1_AAZ_000154, t28_fai-gene-cluster-1_AAF_000148, t6_fai-gene-cluster-1_AAX_000159, t18_fai-gene-cluster-1_AAY_000158
