Orthogroup	t28_fai-gene-cluster-1	Other
OG0000001	AAF_000135	AAI_000129
OG0000001	AAF_000155	ABE_000198
OG0000001	AAF_000155	AAW_000194
OG0000001	AAF_000155	AAM_000216
OG0000001	AAF_000155	AAO_000237
OG0000001	AAF_000155	AAE_000234
OG0000001	AAF_000155	AAD_000221
OG0000001	AAF_000155	AAR_000214, AAR_000186
OG0000001	AAF_000155	AAQ_000201, AAQ_000181
OG0000001	AAF_000155	AAI_000129
OG0000001	AAF_000155	AAI_000129
OG0000001	AAF_000155	AAA_000136
OG0000001	AAF_000155	AAV_000149
OG0000001	AAF_000155	ABB_000158
OG0000001	AAF_000155	ABA_000199
OG0000001	AAF_000155	AAP_000197
OG0000001	AAF_000155	AAS_000193
OG0000001	AAF_000155	ABD_000230
OG0000008	AAF_000142	AAY_000149
OG0000008	AAF_000142	AAR_000194
OG0000019	AAF_000173	AAE_000259
