Dereplication_Type_Comparison	Evolutionary_Statistic	Homolog_Group	Value_1	Value_2
GC Drep vs. GW Drep	1. Conservation	EF2178	1	1
GC Drep vs. GW Drep	1. Conservation	EF2192	1	1
GC Drep vs. GW Drep	1. Conservation	EF2181	1	1
GC Drep vs. GW Drep	1. Conservation	EF2193	1	1
GC Drep vs. GW Drep	1. Conservation	EF2164	0.370967742	0.466666667
GC Drep vs. GW Drep	1. Conservation	EF2171	0.693548387	0.786666667
GC Drep vs. GW Drep	1. Conservation	EF2174	0.64516129	NA
GC Drep vs. GW Drep	1. Conservation	EF2182	1	1
GC Drep vs. GW Drep	1. Conservation	EF2196	1	1
GC Drep vs. GW Drep	1. Conservation	EF2197	1	1
GC Drep vs. GW Drep	1. Conservation	EF2166	0.306451613	0.386666667
GC Drep vs. GW Drep	1. Conservation	EF2200	1	1
GC Drep vs. GW Drep	1. Conservation	EF2168	0.387096774	0.453333333
GC Drep vs. GW Drep	1. Conservation	EF2167	NA	0.293333333
GC Drep vs. GW Drep	1. Conservation	EF2191	1	1
GC Drep vs. GW Drep	1. Conservation	EF2177	1	1
GC Drep vs. GW Drep	1. Conservation	EF2165	1	1
GC Drep vs. GW Drep	1. Conservation	EF2194	1	1
GC Drep vs. GW Drep	1. Conservation	EF2179	1	1
GC Drep vs. GW Drep	1. Conservation	EF2183	1	1
GC Drep vs. GW Drep	1. Conservation	EF2172	0.709677419	0.786666667
GC Drep vs. GW Drep	1. Conservation	EF2180	1	1
GC Drep vs. GW Drep	1. Conservation	EF2170	0.983870968	1
GC Drep vs. GW Drep	1. Conservation	EF2169	0.822580645	0.853333333
GC Drep vs. GW Drep	1. Conservation	EF2184	1	1
GC Drep vs. GW Drep	1. Conservation	EF2198	1	1
GC Drep vs. GW Drep	1. Conservation	EF2190	1	1
GC Drep vs. GW Drep	1. Conservation	EF2195	1	1
GC Drep vs. GW Drep	1. Conservation	EF2176	0.580645161	0.626666667
GC Drep vs. GW Drep	1. Conservation	EF2199	1	1
GC Drep vs. GW Drep	1. Conservation	EF2189	1	1
GC Drep vs. GW Drep	6. Tajimas D	EF2178	-1.623216331	-1.459455505
GC Drep vs. GW Drep	6. Tajimas D	EF2192	-0.827072629	-1.057376298
GC Drep vs. GW Drep	6. Tajimas D	EF2181	-1.168492642	-1.206549564
GC Drep vs. GW Drep	6. Tajimas D	EF2193	-1.409068348	-1.805848562
GC Drep vs. GW Drep	6. Tajimas D	EF2164	0.627941318	2.104103394
GC Drep vs. GW Drep	6. Tajimas D	EF2171	1.681742295	0.924687559
GC Drep vs. GW Drep	6. Tajimas D	EF2174	0.827274259	NA
GC Drep vs. GW Drep	6. Tajimas D	EF2182	-0.508475854	-0.474985859
GC Drep vs. GW Drep	6. Tajimas D	EF2196	-0.674996401	-1.166160539
GC Drep vs. GW Drep	6. Tajimas D	EF2197	-1.338669135	-1.084997276
GC Drep vs. GW Drep	6. Tajimas D	EF2166	1.829907987	1.016812461
GC Drep vs. GW Drep	6. Tajimas D	EF2200	-0.474720739	-0.691549535
GC Drep vs. GW Drep	6. Tajimas D	EF2168	3.238957788	2.347685498
GC Drep vs. GW Drep	6. Tajimas D	EF2167	NA	1.699010354
GC Drep vs. GW Drep	6. Tajimas D	EF2191	-1.826459764	-1.664813838
GC Drep vs. GW Drep	6. Tajimas D	EF2177	-1.174056212	-1.088622434
GC Drep vs. GW Drep	6. Tajimas D	EF2165	0.040875736	0.165203688
GC Drep vs. GW Drep	6. Tajimas D	EF2194	-0.872756986	-1.221720719
GC Drep vs. GW Drep	6. Tajimas D	EF2179	-0.968990112	-0.897056693
GC Drep vs. GW Drep	6. Tajimas D	EF2183	-2.210971783	-0.786540654
GC Drep vs. GW Drep	6. Tajimas D	EF2172	0.233930587	0.126673764
GC Drep vs. GW Drep	6. Tajimas D	EF2180	-1.032322031	-1.089416621
GC Drep vs. GW Drep	6. Tajimas D	EF2170	3.767437533	3.74365061
GC Drep vs. GW Drep	6. Tajimas D	EF2169	4.446071626	4.636844905
GC Drep vs. GW Drep	6. Tajimas D	EF2184	-1.118060928	-0.433898492
GC Drep vs. GW Drep	6. Tajimas D	EF2198	-1.419143776	-1.151188446
GC Drep vs. GW Drep	6. Tajimas D	EF2190	-0.984371601	-0.643641878
GC Drep vs. GW Drep	6. Tajimas D	EF2195	-0.742649216	-0.895244781
GC Drep vs. GW Drep	6. Tajimas D	EF2176	-1.105812188	-0.902111598
GC Drep vs. GW Drep	6. Tajimas D	EF2199	-1.20773547	-1.400813161
GC Drep vs. GW Drep	6. Tajimas D	EF2189	-0.860870058	-6.98737E-05
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2178	-0.9897150954873992	-0.9643500282942735
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2192	-1.28678742711068	-1.204897767041096
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2181	-1.1025612519346473	-1.0529740739981581
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2193	-1.1995035952461484	-1.0745820505174621
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2164	-0.10956696756139712	-0.16651854183203896
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2171	-0.3966865648639313	-0.39979972293229804
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2174	-0.16974466121778603	NA
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2182	-1.1550952764574716	-1.1067971345040648
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2196	-1.077552932514573	-1.0413449149582579
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2197	-1.1138868972594216	-1.159638117419954
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2166	-1.243421304563786	-1.1976714186510031
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2200	-1.174319910464261	-1.1184699217292557
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2168	-0.23908594431940308	-0.240003129323702
