og	og_order	med_length
OG_121	1	0.138
OG_122	2	0.231
OG_115	3	0.663
OG_50	4	0.186
OG_61	5	0.675
OG_157	6	0.282
OG_109	7	0.114
OG_62	8	0.9375
OG_99	9	0.2625
OG_100	10	0.462
OG_106	11	0.495
OG_142	12	0.318
OG_116	13	0.279
OG_73	14	0.702
OG_48	15	0.2895
OG_163	16	0.153
OG_14	17	0.192
OG_25	18	0.135
OG_83	19	0.795
OG_155	20	0.093
OG_15	21	0.225
OG_101	22	0.174
OG_93	23	0.774
OG_30	24	0.15
OG_53	25	0.114
OG_16	26	0.231
OG_29	27	0.417
OG_94	28	0.585
OG_135	29	0.174
OG_95	30	0.726
OG_17	31	0.171
OG_145	32	0.222
OG_33	33	0.582
OG_1	34	0.279
OG_96	35	0.699
OG_159	36	0.183
OG_97	37	0.8445
OG_43	38	0.183
OG_2	39	0.12
OG_98	40	0.705
OG_54	41	0.222
OG_51	42	0.21
OG_34	43	0.1935
OG_136	44	0.21
OG_44	45	0.2595
OG_35	46	0.537
OG_156	47	0.168
OG_146	48	0.138
OG_18	49	0.306
OG_55	50	0.192
OG_3	51	0.885
OG_164	52	0.165
OG_56	53	0.4065
OG_4	54	0.453
OG_36	55	0.486
OG_45	56	0.255
OG_37	57	0.222
OG_19	58	0.345
OG_57	59	0.213
OG_105	60	0.621
OG_167	61	0.177
OG_103	62	0.093
OG_134	63	0.156
OG_64	64	1.656
OG_65	65	0.558
OG_46	66	0.243
OG_166	67	0.249
OG_5	68	0.201
OG_66	69	0.597
OG_38	70	0.1575
OG_133	71	0.18
OG_39	72	0.213
OG_111	73	0.582
OG_40	74	0.186
OG_132	75	0.183
OG_67	76	0.7935
OG_6	77	0.42
OG_7	78	0.306
OG_8	79	0.342
OG_58	80	0.222
OG_161	81	0.15
OG_68	82	1.302
OG_31	83	0.441
OG_139	84	0.144
OG_69	85	1.1175
OG_123	86	0.309
OG_147	87	0.159
OG_104	88	0.126
OG_151	89	0.102
OG_9	90	0.39
OG_10	91	0.465
OG_70	92	1.161
OG_20	93	0.4065
OG_162	94	0.33
OG_153	95	0.144
OG_140	96	0.252
OG_124	97	0.09
OG_168	98	0.096
OG_125	99	0.1545
OG_126	100	0.18
OG_102	101	0.162
OG_128	102	0.318
OG_112	103	0.414
OG_71	104	1.812
OG_114	105	1.386
OG_137	106	0.3
OG_148	107	0.249
OG_149	108	0.273
OG_47	109	0.405
OG_21	110	0.285
OG_22	111	0.18
OG_113	112	0.285
OG_11	113	0.3675
OG_23	114	0.231
OG_72	115	0.747
OG_107	116	0.138
OG_129	117	0.231
OG_24	118	0.3135
OG_74	119	0.621
OG_158	120	0.174
OG_41	121	0.195
OG_75	122	0.342
OG_63	123	1.02
OG_76	124	0.252
OG_108	125	0.285
OG_77	126	0.675
OG_144	127	0.093
OG_110	128	0.1245
OG_26	129	0.162
OG_78	130	0.438
OG_152	131	0.264
OG_12	132	0.204
OG_79	133	0.261
OG_27	134	0.114
OG_80	135	0.726
OG_160	136	0.138
OG_141	137	0.156
OG_42	138	0.309
OG_13	139	0.219
OG_81	140	0.597
OG_117	141	0.252
OG_118	142	0.24
OG_82	143	1.029
OG_49	144	0.33
OG_84	145	0.573
OG_32	146	0.1725
OG_119	147	0.414
OG_85	148	0.669
OG_86	149	0.636
OG_127	150	0.141
OG_87	151	0.573
OG_28	152	0.237
OG_88	153	0.783
OG_59	154	0.3
OG_89	155	1.137
OG_52	156	0.21
OG_154	157	0.147
OG_130	158	0.354
OG_165	159	0.213
OG_90	160	0.4695
OG_91	161	0.744
OG_60	162	0.255
OG_138	163	0.111
OG_131	164	0.201
OG_92	165	0.444
OG_143	166	0.24
OG_150	167	0.099
OG_120	168	0.141
