AAA_000132	AAH_000146
AAA_000135	AAI_000128
AAA_000135	AAQ_000180
AAA_000140	AAO_000196
AAA_000147	AAH_000153
AAA_000147	AAI_000142
AAA_000147	ABB_000173
AAA_000147	ABC_000137
AAA_000152	AAM_000214
AAA_000152	ABD_000228
AAA_000157	AAP_000200
AAA_000157	AAS_000196
AAA_000157	ABA_000202
AAA_000164	AAS_000201
AAB_000116	AAI_000128
AAB_000116	AAQ_000180
AAB_000124	AAI_000142
AAB_000124	AAK_000185
AAB_000124	AAP_000191
AAB_000124	AAQ_000193
AAB_000124	AAS_000186
AAB_000124	AAU_000194
AAB_000124	AAW_000189
AAB_000124	ABC_000137
AAB_000124	ABE_000194
AAB_000127	AAK_000190
AAB_000127	ABD_000228
AAB_000127	ABE_000196
AAB_000132	AAG_000171
AAB_000132	AAN_000152
AAB_000132	AAS_000196
AAB_000132	AAT_000176
AAB_000132	ABA_000202
AAB_000132	ABC_000145
AAB_000137	AAS_000201
AAC_000146	AAI_000128
AAC_000146	AAQ_000180
AAC_000154	ABB_000155
AAC_000175	AAS_000201
AAD_000178	AAU_000208
AAD_000189	AAI_000128
AAD_000189	AAQ_000180
AAD_000190	AAV_000172
AAD_000197	ABA_000179
AAD_000207	AAM_000210
AAD_000226	AAP_000200
AAD_000226	AAS_000196
AAD_000226	ABA_000202
AAD_000232	AAP_000206
AAD_000232	ABA_000209
AAE_000222	AAJ_000159
AAE_000222	AAR_000201
AAE_000222	AAX_000144
AAE_000222	ABB_000155
AAE_000246	AAS_000201
AAF_000134	AAI_000128
AAF_000134	AAQ_000180
AAF_000140	AAO_000196
AAF_000141	AAL_000141
AAF_000141	AAY_000137
AAF_000146	AAI_000142
AAF_000146	AAP_000191
AAF_000146	AAQ_000193
AAF_000146	AAS_000186
AAF_000146	AAU_000194
AAF_000146	AAW_000189
AAF_000146	ABC_000137
AAF_000146	ABE_000194
AAF_000153	ABE_000196
AAF_000159	AAN_000152
AAF_000159	ABA_000202
AAF_000159	ABC_000145
AAF_000164	AAS_000201
AAF_000165	AAW_000204
AAF_000165	ABD_000244
AAF_000165	ABE_000209
AAF_000166	AAV_000182
AAG_000145	AAI_000128
AAG_000145	AAQ_000180
AAG_000152	ABB_000155
AAG_000161	AAH_000152
AAG_000161	AAR_000201
AAG_000171	AAH_000165
AAG_000171	AAQ_000205
AAG_000175	AAS_000201
AAH_000140	AAI_000128
AAH_000140	AAQ_000180
AAH_000145	AAO_000196
AAH_000146	AAL_000141
AAH_000146	AAY_000137
AAH_000153	AAI_000140
AAH_000153	AAQ_000191
AAH_000159	ABE_000196
AAH_000164	AAW_000168
AAH_000164	ABE_000173
AAH_000165	AAT_000176
AAH_000165	ABC_000145
AAH_000170	AAS_000201
AAH_000171	AAW_000204
AAH_000171	ABD_000244
AAH_000171	ABE_000209
AAH_000172	AAV_000182
AAI_000128	AAK_000167
AAI_000128	AAL_000143
AAI_000128	AAN_000133
AAI_000128	AAP_000174
AAI_000128	AAR_000185
AAI_000128	AAS_000164
AAI_000128	AAT_000148
AAI_000128	AAU_000173
AAI_000128	AAV_000148
AAI_000128	AAW_000167
AAI_000128	AAY_000140
AAI_000128	ABA_000171
AAI_000128	ABB_000157
AAI_000128	ABC_000126
AAI_000128	ABE_000172
AAI_000140	ABB_000173
AAI_000140	ABC_000137
AAI_000142	AAK_000184
AAI_000142	AAL_000156
AAI_000142	AAN_000141
AAI_000142	AAQ_000191
AAI_000142	AAX_000158
AAI_000142	AAY_000157
AAI_000142	AAZ_000153
AAI_000146	ABE_000196
AAI_000151	AAQ_000205
AAJ_000176	AAS_000186
AAJ_000176	AAU_000194
AAJ_000176	AAW_000189
AAJ_000181	AAK_000190
AAJ_000181	AAM_000214
AAJ_000181	AAU_000197
AAJ_000181	ABD_000228
AAJ_000185	AAV_000173
AAJ_000192	AAS_000201
AAK_000167	AAQ_000180
AAK_000184	AAP_000191
AAK_000184	AAQ_000193
AAK_000184	AAS_000186
AAK_000184	AAU_000194
AAK_000184	ABC_000137
AAK_000190	AAQ_000199
AAK_000190	AAX_000163
AAK_000190	ABB_000178
AAK_000203	AAP_000206
AAK_000203	AAS_000201
AAK_000203	ABA_000209
AAL_000133	ABB_000189
AAL_000141	AAZ_000148
AAL_000143	AAQ_000180
AAL_000147	AAO_000196
AAL_000156	AAP_000191
AAL_000156	AAQ_000193
AAL_000156	AAS_000186
AAL_000156	AAU_000194
AAL_000156	AAW_000189
AAL_000156	ABC_000137
AAL_000156	ABE_000194
AAL_000167	AAW_000168
AAL_000167	ABE_000173
AAL_000168	AAP_000200
AAL_000168	AAS_000196
AAL_000168	ABA_000202
AAL_000175	AAS_000201
AAL_000177	AAV_000182
AAM_000214	AAP_000195
AAM_000214	AAQ_000199
AAM_000214	AAS_000191
AAM_000214	AAW_000192
AAM_000214	AAX_000163
AAM_000214	AAY_000161
AAM_000214	ABB_000178
AAM_000220	AAP_000200
AAM_000220	AAS_000196
AAM_000220	ABA_000202
AAM_000230	AAP_000206
AAM_000230	AAS_000201
AAM_000230	ABA_000209
AAN_000133	AAQ_000180
AAN_000141	AAQ_000193
AAN_000141	AAS_000186
AAN_000141	AAU_000194
AAN_000141	AAW_000189
AAN_000141	ABC_000137
AAN_000141	ABE_000194
AAN_000142	AAQ_000191
AAN_000142	AAU_000193
AAN_000152	AAQ_000205
AAN_000156	AAS_000201
AAO_000196	AAV_000153
AAO_000196	AAY_000146
AAO_000196	AAZ_000147
AAO_000203	AAV_000172
AAO_000248	AAS_000201
AAP_000174	AAQ_000180
AAP_000189	ABD_000224
AAP_000191	AAV_000162
AAP_000191	AAY_000157
AAP_000191	ABC_000136
AAP_000195	ABD_000228
AAP_000200	AAV_000173
AAP_000200	AAW_000196
AAP_000200	AAZ_000163
AAP_000200	ABE_000201
AAP_000206	AAU_000209
AAP_000206	AAW_000204
AAP_000206	ABD_000244
AAP_000206	ABE_000209
