	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
Ref_Epa_from_V583_fai-gene-cluster-1	0.0	33.0	37.0	37.0	35.0	35.0	34.0	31.0	33.0	38.0	36.0	35.0	34.0	32.0	35.0	34.0	37.0	35.0	33.0	30.0	37.0	34.0	37.0	39.0	35.0	34.0	32.0	37.0	35.0	33.0	36.0
t10_fai-gene-cluster-1	47.0	0.0	52.0	49.0	45.0	50.0	49.0	41.0	49.0	51.0	49.0	43.0	42.0	47.0	45.0	44.0	48.0	45.0	46.0	40.0	47.0	48.0	53.0	56.0	43.0	47.0	46.0	52.0	44.0	50.0	50.0
t11_fai-gene-cluster-1	44.0	46.0	0.0	46.0	43.0	47.0	42.0	39.0	44.0	50.0	45.0	42.0	43.0	45.0	43.0	40.0	48.0	43.0	43.0	37.0	45.0	45.0	48.0	56.0	42.0	45.0	42.0	48.0	43.0	45.0	50.0
t12_fai-gene-cluster-1	41.0	43.0	45.0	0.0	40.0	41.0	39.0	35.0	40.0	45.0	40.0	38.0	37.0	37.0	38.0	36.0	43.0	39.0	38.0	34.0	41.0	41.0	41.0	48.0	39.0	38.0	41.0	41.0	38.0	40.0	44.0
t13_fai-gene-cluster-1	42.0	43.0	46.0	45.0	0.0	48.0	45.0	39.0	46.0	48.0	45.0	45.0	46.0	47.0	40.0	49.0	43.0	56.0	42.0	39.0	40.0	42.0	45.0	49.0	39.0	43.0	40.0	45.0	53.0	46.0	44.0
t14_fai-gene-cluster-1	43.0	52.0	53.0	52.0	50.0	0.0	52.0	48.0	64.0	51.0	56.0	48.0	48.0	56.0	49.0	46.0	51.0	49.0	51.0	46.0	47.0	51.0	51.0	57.0	50.0	51.0	50.0	51.0	46.0	62.0	53.0
t15_fai-gene-cluster-1	42.0	45.0	47.0	45.0	45.0	49.0	0.0	44.0	45.0	45.0	48.0	45.0	41.0	47.0	43.0	41.0	46.0	45.0	45.0	42.0	44.0	49.0	45.0	51.0	45.0	45.0	48.0	45.0	43.0	45.0	45.0
t16_fai-gene-cluster-1	43.0	48.0	48.0	47.0	45.0	48.0	48.0	0.0	50.0	47.0	44.0	47.0	53.0	55.0	46.0	48.0	44.0	46.0	51.0	53.0	42.0	52.0	47.0	53.0	46.0	48.0	53.0	47.0	46.0	53.0	47.0
t17_fai-gene-cluster-1	41.0	51.0	54.0	50.0	48.0	65.0	49.0	50.0	0.0	49.0	55.0	45.0	48.0	51.0	47.0	44.0	51.0	47.0	53.0	47.0	45.0	53.0	51.0	58.0	47.0	56.0	53.0	51.0	44.0	72.0	52.0
t18_fai-gene-cluster-1	47.0	48.0	51.0	49.0	47.0	48.0	43.0	39.0	44.0	0.0	44.0	44.0	44.0	46.0	42.0	44.0	48.0	47.0	43.0	38.0	46.0	43.0	52.0	53.0	40.0	43.0	41.0	51.0	47.0	46.0	50.0
t19_fai-gene-cluster-1	44.0	49.0	50.0	48.0	46.0	55.0	50.0	44.0	56.0	48.0	0.0	46.0	45.0	48.0	45.0	44.0	47.0	47.0	46.0	42.0	45.0	48.0	52.0	54.0	46.0	49.0	45.0	50.0	44.0	56.0	47.0
t1_fai-gene-cluster-1	37.0	39.0	41.0	39.0	41.0	40.0	41.0	38.0	39.0	43.0	40.0	0.0	41.0	42.0	34.0	41.0	41.0	41.0	32.0	37.0	39.0	36.0	39.0	43.0	36.0	34.0	36.0	41.0	41.0	39.0	40.0
t20_fai-gene-cluster-1	34.0	33.0	39.0	34.0	38.0	37.0	36.0	37.0	37.0	40.0	38.0	38.0	0.0	38.0	36.0	38.0	37.0	38.0	34.0	36.0	35.0	36.0	35.0	41.0	35.0	37.0	35.0	39.0	39.0	37.0	37.0
t21_fai-gene-cluster-1	39.0	47.0	47.0	44.0	48.0	52.0	48.0	52.0	48.0	48.0	45.0	47.0	48.0	0.0	45.0	47.0	46.0	47.0	47.0	47.0	42.0	47.0	45.0	49.0	46.0	46.0	49.0	47.0	45.0	50.0	46.0
t22_fai-gene-cluster-1	44.0	48.0	50.0	45.0	43.0	49.0	45.0	45.0	49.0	48.0	47.0	39.0	45.0	48.0	0.0	42.0	45.0	42.0	50.0	39.0	42.0	55.0	50.0	55.0	53.0	51.0	52.0	50.0	44.0	50.0	46.0
t23_fai-gene-cluster-1	35.0	37.0	38.0	34.0	44.0	39.0	37.0	36.0	38.0	40.0	38.0	38.0	40.0	40.0	35.0	0.0	36.0	44.0	34.0	36.0	33.0	36.0	38.0	41.0	35.0	36.0	36.0	40.0	44.0	38.0	36.0
t24_fai-gene-cluster-1	44.0	41.0	47.0	44.0	42.0	43.0	42.0	36.0	44.0	47.0	41.0	43.0	39.0	40.0	42.0	38.0	0.0	42.0	41.0	37.0	51.0	43.0	43.0	50.0	40.0	43.0	40.0	43.0	41.0	44.0	51.0
t25_fai-gene-cluster-1	40.0	41.0	44.0	42.0	54.0	45.0	44.0	39.0	43.0	46.0	44.0	43.0	44.0	45.0	38.0	47.0	42.0	0.0	40.0	40.0	39.0	41.0	42.0	47.0	39.0	42.0	40.0	42.0	51.0	44.0	43.0
t26_fai-gene-cluster-1	46.0	49.0	53.0	50.0	46.0	54.0	48.0	49.0	55.0	51.0	50.0	39.0	44.0	50.0	51.0	42.0	50.0	46.0	0.0	41.0	45.0	60.0	51.0	58.0	51.0	60.0	55.0	51.0	44.0	58.0	52.0
t27_fai-gene-cluster-1	38.0	44.0	43.0	42.0	44.0	47.0	47.0	52.0	47.0	43.0	41.0	41.0	46.0	48.0	38.0	45.0	41.0	45.0	43.0	0.0	37.0	43.0	42.0	47.0	39.0	40.0	43.0	42.0	43.0	49.0	42.0
t28_fai-gene-cluster-1	45.0	40.0	45.0	42.0	41.0	41.0	40.0	36.0	41.0	46.0	40.0	42.0	38.0	39.0	41.0	37.0	51.0	41.0	39.0	33.0	0.0	42.0	43.0	48.0	39.0	40.0	38.0	43.0	42.0	41.0	49.0
t29_fai-gene-cluster-1	44.0	50.0	52.0	49.0	45.0	50.0	48.0	49.0	50.0	50.0	47.0	42.0	46.0	49.0	54.0	43.0	48.0	44.0	56.0	42.0	44.0	0.0	51.0	55.0	53.0	55.0	55.0	51.0	46.0	52.0	49.0
t2_fai-gene-cluster-1	46.0	51.0	50.0	45.0	44.0	47.0	46.0	43.0	46.0	50.0	46.0	42.0	42.0	44.0	45.0	43.0	47.0	44.0	44.0	39.0	45.0	46.0	0.0	54.0	45.0	48.0	43.0	53.0	44.0	48.0	47.0
t30_fai-gene-cluster-1	48.0	48.0	54.0	48.0	46.0	50.0	45.0	43.0	48.0	53.0	48.0	43.0	44.0	46.0	48.0	44.0	48.0	46.0	48.0	41.0	46.0	48.0	51.0	0.0	46.0	48.0	43.0	51.0	47.0	49.0	50.0
t3_fai-gene-cluster-1	41.0	48.0	47.0	44.0	41.0	48.0	46.0	47.0	47.0	48.0	46.0	39.0	42.0	47.0	53.0	39.0	46.0	41.0	48.0	41.0	43.0	53.0	49.0	51.0	0.0	51.0	50.0	50.0	42.0	48.0	48.0
t4_fai-gene-cluster-1	50.0	56.0	56.0	54.0	51.0	56.0	51.0	53.0	58.0	55.0	54.0	46.0	54.0	57.0	55.0	48.0	57.0	53.0	65.0	49.0	50.0	62.0	56.0	60.0	54.0	0.0	58.0	58.0	52.0	63.0	57.0
t5_fai-gene-cluster-1	41.0	48.0	48.0	48.0	44.0	48.0	46.0	48.0	48.0	46.0	43.0	41.0	44.0	48.0	50.0	43.0	46.0	43.0	52.0	42.0	41.0	55.0	46.0	51.0	49.0	52.0	0.0	46.0	42.0	52.0	47.0
t6_fai-gene-cluster-1	45.0	50.0	48.0	44.0	45.0	47.0	45.0	44.0	47.0	51.0	44.0	43.0	43.0	45.0	45.0	43.0	47.0	45.0	43.0	41.0	46.0	46.0	54.0	53.0	45.0	49.0	43.0	0.0	45.0	49.0	47.0
t7_fai-gene-cluster-1	39.0	40.0	43.0	40.0	51.0	43.0	42.0	38.0	41.0	45.0	42.0	41.0	44.0	43.0	39.0	46.0	40.0	51.0	38.0	37.0	38.0	40.0	42.0	47.0	39.0	40.0	37.0	42.0	0.0	42.0	42.0
t8_fai-gene-cluster-1	46.0	55.0	58.0	55.0	51.0	65.0	52.0	52.0	74.0	54.0	59.0	48.0	51.0	54.0	49.0	47.0	55.0	51.0	56.0	48.0	49.0	55.0	56.0	62.0	50.0	60.0	55.0	56.0	48.0	0.0	56.0
t9_fai-gene-cluster-1	46.0	43.0	52.0	48.0	41.0	46.0	41.0	35.0	47.0	50.0	45.0	42.0	39.0	38.0	41.0	38.0	55.0	41.0	43.0	35.0	52.0	43.0	47.0	55.0	40.0	43.0	41.0	45.0	42.0	48.0	0.0
