Orthogroup	t29_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	ABE_000194	AAB_000125
OG0000000	ABE_000193	AAB_000124
OG0000001	ABE_000198	AAB_000117, AAB_000129
OG0000002	ABE_000178, ABE_000179	AAB_000118
OG0000003	ABE_000190	AAB_000123
OG0000004	ABE_000162, ABE_000161	AAB_000108
OG0000005	ABE_000195, ABE_000196	AAB_000126
OG0000006	ABE_000168	AAB_000113
OG0000007	ABE_000188, ABE_000189	AAB_000122
OG0000008	ABE_000185, ABE_000186, ABE_000187	AAB_000121
OG0000009	ABE_000206, ABE_000207	AAB_000135
OG0000012	ABE_000216, ABE_000217	AAB_000143
OG0000013	ABE_000169	AAB_000114
OG0000014	ABE_000213, ABE_000212	AAB_000140
OG0000015	ABE_000182, ABE_000181, ABE_000183	AAB_000119
OG0000016	ABE_000199	AAB_000131
OG0000017	ABE_000208	AAB_000136
OG0000018	ABE_000166	AAB_000112
OG0000019	ABE_000218, ABE_000219	AAB_000144
OG0000020	ABE_000170	AAB_000115
OG0000021	ABE_000204	AAB_000134
OG0000024	ABE_000210	AAB_000138
OG0000025	ABE_000211	AAB_000139
OG0000026	ABE_000215	AAB_000142
OG0000027	ABE_000184	AAB_000120
OG0000028	ABE_000209	AAB_000137
OG0000029	ABE_000214	AAB_000141
OG0000032	ABE_000220	AAB_000145
OG0000033	ABE_000197	AAB_000128
OG0000035	ABE_000203	AAB_000133
