OG	Start	End	Direction	SC	Metric
OG_1	1	1492.0	1		0.535847968431834
OG_2	1692.0	2562.0	1		0.8943061898323453
OG_13	2762.0	4556.0	0		-1.1836943231155814
OG_22	4756.0	6277.0	1		-0.6471592660446316
OG_23	6477.0	8403.0	0		-0.5314605448946046
OG_24	8603.0	10172.0	0		-1.6794587679882482
OG_25	10372.0	11617.0	1		-0.8585375860943391
OG_26	11817.0	12969.0	1		0.585557807146156
OG_27	13169.0	14015.0	1		0.290675808065235
OG_28	14215.0	14701.0	1		0.0654716501718944
OG_3	14901.0	16506.0	1		0.2516439660944573
OG_4	16706.0	18191.0	1		-1.9240556198014256
OG_5	18391.0	18778.0	0		-1.7677880129669108
OG_6	18978.0	20565.0	0		-0.0236954648231865
OG_7	20765.0	21146.0	1		1.6434188038146664
OG_8	21346.0	22132.0	0		-0.7772703567747592
OG_9	22332.0	23493.0	0		-1.392914677648815
OG_10	23693.0	24635.0	0		-1.7672829249157846
OG_11	24835.0	25135.0	1		-0.9781067042620596
OG_12	25335.0	26253.0	0		-1.986249909511625
OG_14	26453.0	27767.0	0		-2.1330945278500506
OG_15	27967.0	29299.0	1		-2.2706481750404954
OG_16	29499.0	35160.0	0		-2.3073191415213765
OG_17	35360.0	40565.0	1		-2.1183099617392243
OG_18	40765.0	41626.0	0		-1.883075049245434
OG_19	41826.0	42450.0	0		-1.2211071104241944
OG_20	42650.0	48974.0	1		-2.422088184349156
OG_21	49174.0	50794.0	0		-1.7863109435438789
