Orthogroup	t1_fai-gene-cluster-1	t23_fai-gene-cluster-1
OG0000000	AAI_000142	ABC_000137
OG0000000	AAI_000140	ABC_000136
OG0000000	AAI_000144	ABC_000138
OG0000001	AAI_000148, AAI_000129	ABC_000142
OG0000002	AAI_000132	ABC_000129
OG0000003	AAI_000137	ABC_000134
OG0000003	AAI_000138, AAI_000139	ABC_000135
OG0000004	AAI_000118	ABC_000115
OG0000005	AAI_000145	ABC_000139
OG0000006	AAI_000126	ABC_000123
OG0000006	AAI_000125	ABC_000122
OG0000007	AAI_000136	ABC_000133
OG0000008	AAI_000135	ABC_000132
OG0000009	AAI_000152	ABC_000146
OG0000009	AAI_000153	ABC_000147
OG0000010	AAI_000121	ABC_000118
OG0000011	AAI_000123	ABC_000120
OG0000011	AAI_000122	ABC_000119
OG0000012	AAI_000163	ABC_000156
OG0000014	AAI_000160	ABC_000152
OG0000015	AAI_000133	ABC_000130
OG0000016	AAI_000150	ABC_000144
OG0000017	AAI_000154	ABC_000148
OG0000019	AAI_000164	ABC_000157
OG0000020	AAI_000128	ABC_000125
OG0000021	AAI_000151	ABC_000145
OG0000022	AAI_000117	ABC_000114
OG0000024	AAI_000157	ABC_000150
OG0000025	AAI_000158, AAI_000159	ABC_000151
OG0000026	AAI_000162	ABC_000154
OG0000027	AAI_000134	ABC_000131
OG0000028	AAI_000156, AAI_000155	ABC_000149
OG0000029	AAI_000161	ABC_000153
OG0000030	AAI_000119, AAI_000120	ABC_000117
OG0000032	AAI_000165	ABC_000158
OG0000033	AAI_000147	ABC_000141
OG0000034	AAI_000146	ABC_000140
OG0000036	AAI_000149	ABC_000143
