OG	Start	End	Direction	SC	Metric
OG_86	1	1813.0	0		0.186380872
OG_87	2013.0	2973.0	0		0.032009363
OG_88	3173.0	4595.0	0		0.020157468
OG_89	4795.0	5767.0	0		0.02688492
OG_90	5967.0	6792.0	0		0.207661853
OG_92	6992.0	8408.0	0		0.4 # 0.451926859
OG_93	8608.0	9589.0	0		0.372331297
OG_94	9789.0	10848.0	0		0.113958355
OG_95	11048.0	11753.0	0		0.021706861
OG_96	11953.0	13132.0	1	//	nan
OG_97	13332.0	16014.0	0		0.127801136
OG_98	16214.0	17063.0	0		0.078602156
OG_99	17263.0	18022.0	0		0.007975364
OG_100	18222.0	19620.0	0	//	nan
OG_101	19820.0	21122.0	0		0.011778777
OG_103	21322.0	23293.0	0		0.01056532
OG_104	23493.0	25635.0	0		0.01143676
OG_105	25835.0	28979.0	0		0.011384136
OG_106	29179.0	30397.0	0		0.012777686
OG_107	30597.0	31392.0	0		0.005248826
OG_108	31592.0	31934.0	1		0.00837317
OG_96	32134.0	33313.0	1	//	nan
OG_109	33513.0	33765.0	0		0.0
OG_110	33965.0	35138.0	0		0.085364055
OG_111	35338.0	36376.0	0		0.001919689
OG_113	36576.0	36927.0	0		0.026785395
OG_114	37127.0	37853.0	0		0.014265984
OG_115	38053.0	38896.0	0		0.008844605
OG_116	39096.0	40125.0	0		0.008698279
OG_117	40325.0	40898.0	0		0.007736796
OG_118	41098.0	41965.0	0		0.006674421
OG_119	42165.0	42879.0	0	//	nan
OG_120	43079.0	43907.0	0		0.0133219
OG_121	44107.0	44890.0	0		0.010415511
OG_122	45090.0	46239.0	0		0.007284715
OG_124	46439.0	47348.0	0		0.008571972
OG_125	47548.0	48313.0	0		0.0128967
