OG	Start	End	Direction	SC	Metric
OG_7	1	1813.0	1		0.2 #0.303932327
OG_69	2013.0	2994.0	1		0.050970711
OG_8	3194.0	4145.0	1		0.034673113
OG_9	4345.0	5767.0	1		0.022163017
OG_10	5967.0	6939.0	1		0.027796813
OG_11	7139.0	7964.0	1		0.2 #0.254517636
OG_73	8164.0	9376.0	1		0.2 #0.333191827
OG_12	9576.0	10992.0	1		0.2 #0.465185635
OG_96	11192.0	12731.0	1		0.2 #0.295273295
OG_70	12931.0	13333.0	1		0.192883027
OG_14	13533.0	14511.0	1		0.2 #0.399568552
OG_15	14711.0	15770.0	1		0.126968035
OG_16	15970.0	16675.0	1		0.026961333
OG_17	16875.0	19557.0	1	//	nan
OG_18	19757.0	20606.0	1		0.087208384
OG_19	20806.0	21565.0	1		0.012440662
OG_74	21765.0	22599.0	1		0.171627562
OG_20	22799.0	24197.0	1		0.016352272
OG_21	24397.0	25699.0	1		0.016532249
OG_22	25899.0	27870.0	1		0.014351893
OG_23	28070.0	30212.0	1		0.015322209
OG_25	30412.0	33556.0	1		0.014916928
OG_26	33756.0	34974.0	1		0.01628287
OG_27	35174.0	35969.0	1		0.00743193
OG_28	36169.0	36511.0	0		0.01102961
OG_29	36711.0	37749.0	1		0.002146141
OG_30	37949.0	38300.0	1		0.032325857
OG_31	38500.0	39226.0	1		0.020116332
OG_32	39426.0	40269.0	1		0.011196835
OG_33	40469.0	41498.0	1		0.01081645
OG_34	41698.0	42271.0	1		0.010536513
OG_36	42471.0	43338.0	1		0.007722734
OG_37	43538.0	44252.0	1		0.013414277
OG_38	44452.0	45280.0	1		0.015250681
OG_39	45480.0	46263.0	1		0.011677853
OG_40	46463.0	47612.0	1		0.010108958
